Asset ID,Product Name,Asset Type,Description,Deployment Date,Status,Region,File Path,Usage Guidelines,Associated Campaign
BA-1001,QuantumLeap Solutions,Brand Mascot,"Character illustration for QuantumLeap Solutions featured in the Neutron Drive advertising campaign.",2011-09-17,Archived,Global,//assets.internal/QuantumLeapSolutions/Brand/Brand_Mascot/Brand_Mascot_1.ai,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1002,Vortex Industries,Primary Font,Standard Primary Font asset for general corporate use by Vortex Industries.,2012-10-18,Active,EMEA,//assets.internal/VortexIndustries/Brand/Primary_Font/Primary_Font_2.otf,Do not stretch alter or recolor. Primary use only.,Year-End Review 2024
BA-1003,Synergy Group,Icon Set,Icon Set design featuring branding for the Unite Platform launch.,2020-03-22,Active,APAC,//assets.internal/SynergyGroup/Brand/Icon_Set/Icon_Set_3.zip,Approved for all digital and print marketing materials.,NextGen Launch
BA-1004,Orion Marketing,Jingle,Standard Jingle asset for general corporate use by Orion Marketing.,2009-08-27,Active,North America,//assets.internal/OrionMarketing/Brand/Jingle/Jingle_4.mp3,Requires legal approval before external use.,not used
BA-1005,AetherWorks,Presentation Template,Standard Presentation Template asset for general corporate use by AetherWorks.,2013-09-07,Active,North America,//assets.internal/AetherWorks/Brand/Presentation_Template/Presentation_Template_5.pptx,Approved for all digital and print marketing materials.,Future Forward 2025
BA-1006,Stellar Systems,Social Media Banner,Social Media Banner design featuring branding for the Galaxy Watch launch.,2015-06-25,Active,Global,//assets.internal/StellarSystems/Brand/Social_Media_Banner/Social_Media_Banner_6.jpg,For internal use only. Not for public distribution.,not used
BA-1007,Pinnacle Brands,Brand Mascot,"Character illustration for Pinnacle Brands featured in the Everest Jacket advertising campaign.",2024-03-01,Active,Global,//assets.internal/PinnacleBrands/Brand/Brand_Mascot/Brand_Mascot_7.ai,Do not stretch alter or recolor. Primary use only.,Project Nova
BA-1008,Momentum Labs,Storefront Signage,Storefront Signage design featuring branding for the Velocity SDK launch.,2016-12-19,Active,APAC,//assets.internal/MomentumLabs/Brand/Storefront_Signage/Storefront_Signage_8.pdf,Print-only. Use CMYK values from the brand guide.,Innovate & Elevate
BA-1009,AquaSphere Tech,Secondary Font,Standard Secondary Font asset for general corporate use by AquaSphere Tech.,2014-04-20,Active,EMEA,//assets.internal/AquaSphereTech/Brand/Secondary_Font/Secondary_Font_9.ttf,Use on light backgrounds only. Maintain 20px clear space.,Brand Unification 2023
BA-1010,Innovate Inc.,Email Signature,Standard Email Signature asset for general corporate use by Innovate Inc.,2018-09-02,Active,North America,//assets.internal/InnovateInc/Brand/Email_Signature/Email_Signature_10.html,Minimum size 50px width. Refer to brand guidelines for full details.,not used
BA-1011,Innovate Inc.,Brand Guidelines PDF,"Comprehensive PDF document outlining all brand usage rules for Innovate Inc.",2011-09-24,Archived,North America,//assets.internal/InnovateInc/Brand/Brand_Guidelines_PDF/Brand_Guidelines_PDF_11.pdf,For internal use only. Not for public distribution.,not used
BA-1012,Catalyst Co.,Secondary Font,Standard Secondary Font asset for general corporate use by Catalyst Co.,2019-09-12,Active,Global,//assets.internal/CatalystCo/Brand/Secondary_Font/Secondary_Font_12.ttf,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1013,Apex Digital,Storefront Signage,Storefront Signage design featuring branding for the Pinnacle Ad-Suite launch.,2014-06-12,Active,EMEA,//assets.internal/ApexDigital/Brand/Storefront_Signage/Storefront_Signage_13.pdf,Minimum size 50px width. Refer to brand guidelines for full details.,Summer Splash Sale
BA-1014,Solstice Media,Color Palette,"Official brand color palette for Solstice Media including primary secondary and accent colors.",2012-07-16,Active,North America,//assets.internal/SolsticeMedia/Brand/Color_Palette/Color_Palette_14.ase,Do not stretch alter or recolor. Primary use only.,not used
BA-1015,Vortex Industries,Logomark,"The official Logomark for Vortex Industries used on Cyclone Turbine marketing materials.",2016-11-20,Active,North America,//assets.internal/VortexIndustries/Brand/Logomark/Logomark_15.png,Requires legal approval before external use.,Q3 Growth Initiative
BA-1016,Zenith Dynamics,Wordmark,"The official Wordmark for Zenith Dynamics used on Momentum ERP marketing materials.",2018-09-17,Active,Global,//assets.internal/ZenithDynamics/Brand/Wordmark/Wordmark_16.eps,Use on light backgrounds only. Maintain 20px clear space.,not used
BA-1017,QuantumLeap Solutions,Primary Font,Standard Primary Font asset for general corporate use by QuantumLeap Solutions.,2019-12-07,Active,Global,//assets.internal/QuantumLeapSolutions/Brand/Primary_Font/Primary_Font_17.otf,Do not stretch alter or recolor. Primary use only.,not used
BA-1018,Fusion Core,Product Packaging Design,Official product packaging design for the Isotope App consumer release.,2025-07-16,Archived,Global,//assets.internal/FusionCore/Brand/Product_Packaging_Design/Product_Packaging_Design_18.pdf,Do not stretch alter or recolor. Primary use only.,Spring Refresh
BA-1019,Terra Firma Corp.,Social Media Banner,Social Media Banner design featuring branding for the Keystone Security launch.,2024-03-23,Active,EMEA,//assets.internal/TerraFirmaCorp/Brand/Social_Media_Banner/Social_Media_Banner_19.jpg,Use on light backgrounds only. Maintain 20px clear space.,not used
BA-1020,Zenith Dynamics,Social Media Banner,Social Media Banner design featuring branding for the Momentum ERP launch.,2022-02-14,Active,North America,//assets.internal/ZenithDynamics/Brand/Social_Media_Banner/Social_Media_Banner_20.jpg,Use on light backgrounds only. Maintain 20px clear space.,Project Nova
BA-1021,Stellar Systems,Social Media Banner,Social Media Banner design featuring branding for the Orion Suite launch.,2013-05-18,Archived,North America,//assets.internal/StellarSystems/Brand/Social_Media_Banner/Social_Media_Banner_21.jpg,Approved for all digital and print marketing materials.,not used
BA-1022,Pinnacle Brands,Brand Mascot,"Character illustration for Pinnacle Brands featured in the Everest Jacket advertising campaign.",2023-01-20,Active,EMEA,//assets.internal/PinnacleBrands/Brand/Brand_Mascot/Brand_Mascot_22.ai,Do not stretch alter or recolor. Primary use only.,Spring Refresh
BA-1023,Fusion Core,Wordmark,"The official Wordmark for Fusion Core used on Molecule Monitor marketing materials.",2009-08-27,In Review,Global,//assets.internal/FusionCore/Brand/Wordmark/Wordmark_23.eps,Requires legal approval before external use.,Brand Unification 2023
BA-1024,Synergy Group,Color Palette,"Official brand color palette for Synergy Group including primary secondary and accent colors.",2019-12-07,Active,Global,//assets.internal/SynergyGroup/Brand/Color_Palette/Color_Palette_24.ase,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1025,Helios Energy,Brand Guidelines PDF,"Comprehensive PDF document outlining all brand usage rules for Helios Energy.",2016-12-19,Active,LATAM,//assets.internal/HeliosEnergy/Brand/Brand_Guidelines_PDF/Brand_Guidelines_PDF_25.pdf,Minimum size 50px width. Refer to brand guidelines for full details.,Innovate & Elevate
BA-1026,QuantumLeap Solutions,Wordmark,"The official Wordmark for QuantumLeap Solutions used on Electron App marketing materials.",2012-07-06,Archived,Global,//assets.internal/QuantumLeapSolutions/Brand/Wordmark/Wordmark_26.eps,Approved for all digital and print marketing materials.,Summer Splash Sale
BA-1027,Terra Firma Corp.,Primary Font,Standard Primary Font asset for general corporate use by Terra Firma Corp.,2025-05-12,Active,Global,//assets.internal/TerraFirmaCorp/Brand/Primary_Font/Primary_Font_27.otf,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1028,Fusion Core,Slogan/Tagline,Standard Slogan/Tagline asset for general corporate use by Fusion Core.,2008-01-28,Retired,Global,//assets.internal/FusionCore/Brand/Slogan_Tagline/Slogan_Tagline_28.txt,Minimum size 50px width. Refer to brand guidelines for full details.,not used
BA-1029,AetherWorks,Primary Font,Standard Primary Font asset for general corporate use by AetherWorks.,2016-09-22,Active,Global,//assets.internal/AetherWorks/Brand/Primary_Font/Primary_Font_29.otf,Use on light backgrounds only. Maintain 20px clear space.,Future Forward 2025
BA-1030,Evolve Creative,Icon Set,Icon Set design featuring branding for the Genesis Design Suite launch.,2021-03-23,Active,Global,//assets.internal/EvolveCreative/Brand/Icon_Set/Icon_Set_30.zip,Approved for all digital and print marketing materials.,not used
BA-1031,Synergy Group,Storefront Signage,Storefront Signage design featuring branding for the Concord Project Manager launch.,2016-01-22,Active,Global,//assets.internal/SynergyGroup/Brand/Storefront_Signage/Storefront_Signage_31.pdf,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1032,Apex Digital,Logomark,"The official Logomark for Apex Digital used on Crest CMS marketing materials.",2017-06-25,Active,Global,//assets.internal/ApexDigital/Brand/Logomark/Logomark_32.png,Print-only. Use CMYK values from the brand guide.,not used
BA-1033,Nexus Innovations,Slogan/Tagline,Standard Slogan/Tagline asset for general corporate use by Nexus Innovations.,2012-09-08,Archived,EMEA,//assets.internal/NexusInnovations/Brand/Slogan_Tagline/Slogan_Tagline_33.txt,Approved for all digital and print marketing materials.,not used
BA-1034,Solstice Media,Secondary Font,Standard Secondary Font asset for general corporate use by Solstice Media.,2012-11-20,Active,EMEA,//assets.internal/SolsticeMedia/Brand/Secondary_Font/Secondary_Font_34.ttf,Approved for all digital and print marketing materials.,Q3 Growth Initiative
BA-1035,Momentum Labs,Icon Set,Icon Set design featuring branding for the Velocity SDK launch.,2009-06-05,Active,Global,//assets.internal/MomentumLabs/Brand/Icon_Set/Icon_Set_35.zip,Do not stretch alter or recolor. Primary use only.,not used
BA-1036,Momentum Labs,Primary Font,Standard Primary Font asset for general corporate use by Momentum Labs.,2020-05-18,Active,Global,//assets.internal/MomentumLabs/Brand/Primary_Font/Primary_Font_36.otf,For internal use only. Not for public distribution.,not used
BA-1037,Innovate Inc.,Jingle,Standard Jingle asset for general corporate use by Innovate Inc.,2019-01-14,Active,North America,//assets.internal/InnovateInc/Brand/Jingle/Jingle_37.mp3,Use on light backgrounds only. Maintain 20px clear space.,not used
BA-1038,AetherWorks,Social Media Banner,Social Media Banner design featuring branding for the Sky-Form launch.,2018-02-14,Active,Global,//assets.internal/AetherWorks/Brand/Social_Media_Banner/Social_Media_Banner_38.jpg,Requires legal approval before external use.,not used
BA-1039,Zenith Dynamics,Social Media Banner,Social Media Banner design featuring branding for the Vertex AI launch.,2015-08-01,Archived,Global,//assets.internal/ZenithDynamics/Brand/Social_Media_Banner/Social_Media_Banner_39.jpg,Do not stretch alter or recolor. Primary use only.,Year-End Review 2024
BA-1040,AquaSphere Tech,Wordmark,"The official Wordmark for AquaSphere Tech used on Hydra OS marketing materials.",2012-05-02,Active,Global,//assets.internal/AquaSphereTech/Brand/Wordmark/Wordmark_40.eps,Do not stretch alter or recolor. Primary use only.,Summer Splash Sale
BA-1041,Innovate Inc.,Product Packaging Design,Official product packaging design for the Insight BI consumer release.,2015-10-21,Active,Global,//assets.internal/InnovateInc/Brand/Product_Packaging_Design/Product_Packaging_Design_41.pdf,Must be accompanied by the official company wordmark.,not used
BA-1042,Terra Firma Corp.,Wordmark,"The official Wordmark for Terra Firma Corp. used on Foundation DB marketing materials.",2005-06-03,Active,North America,//assets.internal/TerraFirmaCorp/Brand/Wordmark/Wordmark_42.eps,Print-only. Use CMYK values from the brand guide.,not used
BA-1043,Momentum Labs,Logomark,"The official Logomark for Momentum Labs used on Impulse API marketing materials.",2010-09-02,Active,LATAM,//assets.internal/MomentumLabs/Brand/Logomark/Logomark_43.png,Do not stretch alter or recolor. Primary use only.,Innovate & Elevate
BA-1044,Helios Energy,Slogan/Tagline,Standard Slogan/Tagline asset for general corporate use by Helios Energy.,2015-04-12,Active,North America,//assets.internal/HeliosEnergy/Brand/Slogan_Tagline/Slogan_Tagline_44.txt,For internal use only. Not for public distribution.,not used
BA-1045,Nexus Innovations,Logo,"Primary company logo for Nexus Innovations applied to the Node Framework product line.",2010-03-01,Active,North America,//assets.internal/NexusInnovations/Brand/Logo/Logo_45.svg,Minimum size 50px width. Refer to brand guidelines for full details.,Project Nova
BA-1046,QuantumLeap Solutions,Wordmark,"The official Wordmark for QuantumLeap Solutions used on Neutron Drive marketing materials.",2011-09-24,Archived,APAC,//assets.internal/QuantumLeapSolutions/Brand/Wordmark/Wordmark_46.eps,Must be accompanied by the official company wordmark.,Brand Unification 2023
BA-1047,Zenith Dynamics,Email Signature,Standard Email Signature asset for general corporate use by Zenith Dynamics.,2022-09-22,Active,Global,//assets.internal/ZenithDynamics/Brand/Email_Signature/Email_Signature_47.html,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1048,Fusion Core,Social Media Banner,Social Media Banner design featuring branding for the Isotope App launch.,2006-08-25,Active,North America,//assets.internal/FusionCore/Brand/Social_Media_Banner/Social_Media_Banner_48.jpg,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1049,Apex Digital,Brand Mascot,"Character illustration for Apex Digital featured in the Summit SEO advertising campaign.",2010-08-24,Active,APAC,//assets.internal/ApexDigital/Brand/Brand_Mascot/Brand_Mascot_49.ai,Must be accompanied by the official company wordmark.,not used
BA-1050,Nexus Innovations,Presentation Template,Standard Presentation Template asset for general corporate use by Nexus Innovations.,2015-09-17,Active,North America,//assets.internal/NexusInnovations/Brand/Presentation_Template/Presentation_Template_50.pptx,Use on light backgrounds only. Maintain 20px clear space.,not used
BA-1051,Equinox Ventures,Icon Set,Icon Set design featuring branding for the Leverage Funder launch.,2012-02-12,Active,EMEA,//assets.internal/EquinoxVentures/Brand/Icon_Set/Icon_Set_51.zip,Approved for all digital and print marketing materials.,not used
BA-1052,Orion Marketing,Jingle,Standard Jingle asset for general corporate use by Orion Marketing.,2019-09-29,Active,North America,//assets.internal/OrionMarketing/Brand/Jingle/Jingle_52.mp3,Approved for all digital and print marketing materials.,not used
BA-1053,Helios Energy,Logo,"Primary company logo for Helios Energy applied to the Solaris Panel product line.",2016-08-01,Retired,Global,//assets.internal/HeliosEnergy/Brand/Logo/Logo_53.svg,Use on light backgrounds only. Maintain 20px clear space.,not used
BA-1054,Solstice Media,Color Palette,"Official brand color palette for Solstice Media including primary secondary and accent colors.",2015-01-20,Active,EMEA,//assets.internal/SolsticeMedia/Brand/Color_Palette/Color_Palette_54.ase,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,Q3 Growth Initiative
BA-1055,Stellar Systems,Social Media Banner,Social Media Banner design featuring branding for the Galaxy Watch launch.,2020-06-18,Active,EMEA,//assets.internal/StellarSystems/Brand/Social_Media_Banner/Social_Media_Banner_55.jpg,Requires legal approval before external use.,not used
BA-1056,Orion Marketing,Slogan/Tagline,Standard Slogan/Tagline asset for general corporate use by Orion Marketing.,2008-02-09,Active,North America,//assets.internal/OrionMarketing/Brand/Slogan_Tagline/Slogan_Tagline_56.txt,For internal use only. Not for public distribution.,not used
BA-1057,Nexus Innovations,Storefront Signage,Storefront Signage design featuring branding for the LinkGrid launch.,2023-08-22,Active,North America,//assets.internal/NexusInnovations/Brand/Storefront_Signage/Storefront_Signage_57.pdf,Requires legal approval before external use.,not used
BA-1058,QuantumLeap Solutions,Secondary Font,Standard Secondary Font asset for general corporate use by QuantumLeap Solutions.,2009-02-19,Active,Global,//assets.internal/QuantumLeapSolutions/Brand/Secondary_Font/Secondary_Font_58.ttf,For internal use only. Not for public distribution.,not used
BA-1059,Terra Firma Corp.,Secondary Font,Standard Secondary Font asset for general corporate use by Terra Firma Corp.,2009-12-14,Active,Global,//assets.internal/TerraFirmaCorp/Brand/Secondary_Font/Secondary_Font_59.ttf,Print-only. Use CMYK values from the brand guide.,not used
BA-1060,AquaSphere Tech,Icon Set,Icon Set design featuring branding for the Triton Water Purifier launch.,2019-12-25,Active,Global,//assets.internal/AquaSphereTech/Brand/Icon_Set/Icon_Set_60.zip,Approved for all digital and print marketing materials.,not used
BA-1061,Solstice Media,Secondary Font,Standard Secondary Font asset for general corporate use by Solstice Media.,2019-10-18,Active,Global,//assets.internal/SolsticeMedia/Brand/Secondary_Font/Secondary_Font_61.ttf,Print-only. Use CMYK values from the brand guide.,not used
BA-1062,Catalyst Co.,Brand Guidelines PDF,"Comprehensive PDF document outlining all brand usage rules for Catalyst Co.",2017-02-19,Active,North America,//assets.internal/CatalystCo/Brand/Brand_Guidelines_PDF/Brand_Guidelines_PDF_62.pdf,For internal use only. Not for public distribution.,not used
BA-1063,Orion Marketing,Logo,"Primary company logo for Orion Marketing applied to the Stardust SEO product line.",2005-02-09,Active,Global,//assets.internal/OrionMarketing/Brand/Logo/Logo_63.svg,Use on light backgrounds only. Maintain 20px clear space.,not used
BA-1064,Fusion Core,Color Palette,"Official brand color palette for Fusion Core including primary secondary and accent colors.",2014-03-09,Active,APAC,//assets.internal/FusionCore/Brand/Color_Palette/Color_Palette_64.ase,Do not stretch alter or recolor. Primary use only.,not used
BA-1065,Equinox Ventures,Jingle,Standard Jingle asset for general corporate use by Equinox Ventures.,2011-04-20,Active,EMEA,//assets.internal/EquinoxVentures/Brand/Jingle/Jingle_65.mp3,Requires legal approval before external use.,not used
BA-1066,Nexus Innovations,Social Media Banner,Social Media Banner design featuring branding for the Hub OS launch.,2012-07-28,Active,EMEA,//assets.internal/NexusInnovations/Brand/Social_Media_Banner/Social_Media_Banner_66.jpg,Approved for all digital and print marketing materials.,not used
BA-1067,Synergy Group,Product Packaging Design,Official product packaging design for the Concord Project Manager consumer release.,2025-06-25,Active,North America,//assets.internal/SynergyGroup/Brand/Product_Packaging_Design/Product_Packaging_Design_67.pdf,Requires legal approval before external use.,Summer Splash Sale
BA-1068,Innovate Inc.,Brand Guidelines PDF,"Comprehensive PDF document outlining all brand usage rules for Innovate Inc.",2011-08-01,Archived,EMEA,//assets.internal/InnovateInc/Brand/Brand_Guidelines_PDF/Brand_Guidelines_PDF_68.pdf,Do not stretch alter or recolor. Primary use only.,not used
BA-1069,Solstice Media,Logomark,"The official Logomark for Solstice Media used on Wintertide Analytics marketing materials.",2009-02-14,Active,LATAM,//assets.internal/SolsticeMedia/Brand/Logomark/Logomark_69.png,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1070,Evolve Creative,Wordmark,"The official Wordmark for Evolve Creative used on Apex Animator marketing materials.",2013-09-07,Active,North America,//assets.internal/EvolveCreative/Brand/Wordmark/Wordmark_70.eps,Print-only. Use CMYK values from the brand guide.,not used
BA-1071,Equinox Ventures,Primary Font,Standard Primary Font asset for general corporate use by Equinox Ventures.,2017-06-13,Active,North America,//assets.internal/EquinoxVentures/Brand/Primary_Font/Primary_Font_71.otf,Must be accompanied by the official company wordmark.,not used
BA-1072,AquaSphere Tech,Primary Font,Standard Primary Font asset for general corporate use by AquaSphere Tech.,2011-01-20,Active,Global,//assets.internal/AquaSphereTech/Brand/Primary_Font/Primary_Font_72.otf,Do not stretch alter or recolor. Primary use only.,Innovate & Elevate
BA-1073,Vortex Industries,Brand Guidelines PDF,"Comprehensive PDF document outlining all brand usage rules for Vortex Industries.",2014-06-03,Active,Global,//assets.internal/VortexIndustries/Brand/Brand_Guidelines_PDF/Brand_Guidelines_PDF_73.pdf,Minimum size 50px width. Refer to brand guidelines for full details.,not used
BA-1074,Stellar Systems,Slogan/Tagline,Standard Slogan/Tagline asset for general corporate use by Stellar Systems.,2008-07-07,Active,EMEA,//assets.internal/StellarSystems/Brand/Slogan_Tagline/Slogan_Tagline_74.txt,Approved for all digital and print marketing materials.,Future Forward 2025
BA-1075,Vortex Industries,Icon Set,Icon Set design featuring branding for the Tornado Drill launch.,2022-09-06,Archived,North America,//assets.internal/VortexIndustries/Brand/Icon_Set/Icon_Set_75.zip,Use on light backgrounds only. Maintain 20px clear space.,not used
BA-1076,AetherWorks,Storefront Signage,Storefront Signage design featuring branding for the Mist Engine launch.,2009-05-18,Active,Global,//assets.internal/AetherWorks/Brand/Storefront_Signage/Storefront_Signage_76.pdf,Do not stretch alter or recolor. Primary use only.,Project Nova
BA-1077,QuantumLeap Solutions,Wordmark,"The official Wordmark for QuantumLeap Solutions used on Electron App marketing materials.",2018-09-15,Active,Global,//assets.internal/QuantumLeapSolutions/Brand/Wordmark/Wordmark_77.eps,Approved for all digital and print marketing materials.,NextGen Launch
BA-1078,AetherWorks,Slogan/Tagline,Standard Slogan/Tagline asset for general corporate use by AetherWorks.,2019-12-07,Active,APAC,//assets.internal/AetherWorks/Brand/Slogan_Tagline/Slogan_Tagline_78.txt,For internal use only. Not for public distribution.,not used
BA-1079,AquaSphere Tech,Wordmark,"The official Wordmark for AquaSphere Tech used on Hydra OS marketing materials.",2016-12-04,Archived,Global,//assets.internal/AquaSphereTech/Brand/Wordmark/Wordmark_79.eps,Requires legal approval before external use.,not used
BA-1080,Innovate Inc.,Email Signature,Standard Email Signature asset for general corporate use by Innovate Inc.,2010-09-12,Active,APAC,//assets.internal/InnovateInc/Brand/Email_Signature/Email_Signature_80.html,Requires legal approval before external use.,not used
BA-1081,Apex Digital,Wordmark,"The official Wordmark for Apex Digital used on Crest CMS marketing materials.",2017-06-12,Active,Global,//assets.internal/ApexDigital/Brand/Wordmark/Wordmark_81.eps,Approved for all digital and print marketing materials.,not used
BA-1082,Synergy Group,Jingle,Standard Jingle asset for general corporate use by Synergy Group.,2016-01-20,Active,EMEA,//assets.internal/SynergyGroup/Brand/Jingle/Jingle_82.mp3,Approved for all digital and print marketing materials.,Spring Refresh
BA-1083,Synergy Group,Presentation Template,Standard Presentation Template asset for general corporate use by Synergy Group.,2006-05-18,Archived,LATAM,//assets.internal/SynergyGroup/Brand/Presentation_Template/Presentation_Template_83.pptx,Must be accompanied by the official company wordmark.,not used
BA-1084,Solstice Media,Color Palette,"Official brand color palette for Solstice Media including primary secondary and accent colors.",2005-08-01,In Review,Global,//assets.internal/SolsticeMedia/Brand/Color_Palette/Color_Palette_84.ase,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1085,Zenith Dynamics,Logomark,"The official Logomark for Zenith Dynamics used on Momentum ERP marketing materials.",2006-03-24,Active,Global,//assets.internal/ZenithDynamics/Brand/Logomark/Logomark_85.png,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1086,Evolve Creative,Product Packaging Design,Official product packaging design for the Apex Animator consumer release.,2025-07-28,Active,North America,//assets.internal/EvolveCreative/Brand/Product_Packaging_Design/Product_Packaging_Design_86.pdf,Minimum size 50px width. Refer to brand guidelines for full details.,NextGen Launch
BA-1087,Evolve Creative,Wordmark,"The official Wordmark for Evolve Creative used on Chrysalis Video Editor marketing materials.",2012-07-16,Active,EMEA,//assets.internal/EvolveCreative/Brand/Wordmark/Wordmark_87.eps,Approved for all digital and print marketing materials.,not used
BA-1088,Nexus Innovations,Presentation Template,Standard Presentation Template asset for general corporate use by Nexus Innovations.,2013-11-20,Active,North America,//assets.internal/NexusInnovations/Brand/Presentation_Template/Presentation_Template_88.pptx,Use on light backgrounds only. Maintain 20px clear space.,not used
BA-1089,Stellar Systems,Slogan/Tagline,Standard Slogan/Tagline asset for general corporate use by Stellar Systems.,2008-11-16,Archived,APAC,//assets.internal/StellarSystems/Brand/Slogan_Tagline/Slogan_Tagline_89.txt,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1090,Pinnacle Brands,Brand Mascot,"Character illustration for Pinnacle Brands featured in the K2 Backpack advertising campaign.",2024-05-24,Active,Global,//assets.internal/PinnacleBrands/Brand/Brand_Mascot/Brand_Mascot_90.ai,Use on light backgrounds only. Maintain 20px clear space.,not used
BA-1091,Fusion Core,Wordmark,"The official Wordmark for Fusion Core used on Isotope App marketing materials.",2012-10-02,Archived,Global,//assets.internal/FusionCore/Brand/Wordmark/Wordmark_91.eps,Approved for all digital and print marketing materials.,not used
BA-1092,Apex Digital,Logomark,"The official Logomark for Apex Digital used on Summit SEO marketing materials.",2014-06-18,Active,Global,//assets.internal/ApexDigital/Brand/Logomark/Logomark_92.png,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,Future Forward 2025
BA-1093,Helios Energy,Icon Set,Icon Set design featuring branding for the Flare Grid launch.,2020-03-22,Active,North America,//assets.internal/HeliosEnergy/Brand/Icon_Set/Icon_Set_93.zip,Approved for all digital and print marketing materials.,not used
BA-1094,Fusion Core,Jingle,Standard Jingle asset for general corporate use by Fusion Core.,2019-10-22,Active,Global,//assets.internal/FusionCore/Brand/Jingle/Jingle_94.mp3,Approved for all digital and print marketing materials.,not used
BA-1095,Orion Marketing,Jingle,Standard Jingle asset for general corporate use by Orion Marketing.,2024-07-06,Active,North America,//assets.internal/OrionMarketing/Brand/Jingle/Jingle_95.mp3,Minimum size 50px width. Refer to brand guidelines for full details.,not used
