customer_account_id,company_name,industry,tier,active_users,total_assets,contract_start_date
CUST000001,Retail Giant 1,Manufacturing,Enterprise,1311,11507,2042-03-18 02:05:07.853031
CUST000002,Manufacturing Co 2,Retail,Enterprise,163,132374,2042-02-16 02:05:07.853031
CUST000003,Manufacturing Co 3,Education,Enterprise,315,96870,2042-01-17 02:05:07.853031
CUST000004,Global Brands Inc 4,Healthcare,Professional,4291,34954,2041-12-18 02:05:07.853031
CUST000005,Manufacturing Co 5,Education,Enterprise,4667,111156,2041-11-18 02:05:07.853031
CUST000006,MediaCo 6,Education,Professional,2299,154294,2041-10-19 02:05:07.853031
CUST000007,TechStart 7,Finance,Professional,1534,139165,2041-09-19 02:05:07.853031
CUST000008,Global Brands Inc 8,Manufacturing,Standard,1989,90722,2041-08-20 02:05:07.853031
CUST000009,Fashion House 9,Education,Enterprise,3403,148522,2041-07-21 02:05:07.853031
CUST000010,Fashion House 10,Media,Professional,3890,68556,2041-06-21 02:05:07.853031
CUST000011,TechStart 11,Media,Professional,2402,55127,2041-05-22 02:05:07.853031
CUST000012,Finance Plus 12,Healthcare,Standard,3060,126870,2041-04-22 02:05:07.853031
CUST000013,Manufacturing Co 13,Finance,Professional,1315,31444,2041-03-23 02:05:07.853031
CUST000014,TechStart 14,Finance,Enterprise,3372,122597,2041-02-21 02:05:07.853031
CUST000015,MediaCo 15,Manufacturing,Professional,3481,64189,2041-01-22 02:05:07.853031
CUST000016,Healthcare Systems 16,Finance,Enterprise,748,77341,2040-12-23 02:05:07.853031
CUST000017,Fashion House 17,Media,Standard,105,176429,2040-11-23 02:05:07.853031
CUST000018,Retail Giant 18,Media,Professional,834,109795,2040-10-24 02:05:07.853031
CUST000019,Healthcare Systems 19,Education,Standard,4758,57001,2040-09-24 02:05:07.853031
CUST000020,Global Brands Inc 20,Finance,Professional,316,169648,2040-08-25 02:05:07.853031
CUST000021,Education First 21,Manufacturing,Enterprise,1088,147263,2040-07-26 02:05:07.853031
CUST000022,Finance Plus 22,Technology,Enterprise,4080,39647,2040-06-26 02:05:07.853031
CUST000023,Manufacturing Co 23,Technology,Enterprise,2310,6269,2040-05-27 02:05:07.853031
CUST000024,Fashion House 24,Media,Professional,1829,96524,2040-04-27 02:05:07.853031
CUST000025,TechStart 25,Finance,Professional,4025,93882,2040-03-28 02:05:07.853031
CUST000026,Manufacturing Co 26,Finance,Professional,934,90804,2040-02-27 02:05:07.853031
CUST000027,Healthcare Systems 27,Finance,Enterprise,1460,10918,2040-01-28 02:05:07.853031
CUST000028,MediaCo 28,Media,Professional,664,31196,2039-12-29 02:05:07.853031
CUST000029,TechStart 29,Healthcare,Standard,3401,66677,2039-11-29 02:05:07.853031
CUST000030,TechStart 30,Education,Professional,4729,113679,2039-10-30 02:05:07.853031
CUST000031,Acme Corp 31,Finance,Professional,4057,93864,2039-09-30 02:05:07.853031
CUST000032,Education First 32,Healthcare,Professional,1591,173684,2039-08-31 02:05:07.853031
CUST000033,Finance Plus 33,Retail,Enterprise,4474,55200,2039-08-01 02:05:07.853031
CUST000034,Education First 34,Retail,Professional,3058,68111,2039-07-02 02:05:07.853031
CUST000035,Healthcare Systems 35,Education,Professional,1890,113439,2039-06-02 02:05:07.853031
CUST000036,Healthcare Systems 36,Technology,Standard,4001,81666,2039-05-03 02:05:07.853031
CUST000037,Healthcare Systems 37,Healthcare,Professional,3315,7642,2039-04-03 02:05:07.853031
CUST000038,Healthcare Systems 38,Manufacturing,Professional,2466,89176,2039-03-04 02:05:07.853031
CUST000039,Healthcare Systems 39,Manufacturing,Enterprise,468,94053,2039-02-02 02:05:07.853031
CUST000040,Global Brands Inc 40,Manufacturing,Professional,4037,137678,2039-01-03 02:05:07.853031
CUST000041,Acme Corp 41,Retail,Professional,2158,102713,2038-12-04 02:05:07.853031
CUST000042,Retail Giant 42,Education,Professional,1756,49575,2038-11-04 02:05:07.853031
CUST000043,Healthcare Systems 43,Finance,Professional,2867,121819,2038-10-05 02:05:07.853031
CUST000044,Finance Plus 44,Technology,Professional,945,23581,2038-09-05 02:05:07.853031
CUST000045,Retail Giant 45,Manufacturing,Professional,4074,8098,2038-08-06 02:05:07.853031
CUST000046,Acme Corp 46,Healthcare,Professional,2988,33709,2038-07-07 02:05:07.853031
CUST000047,Global Brands Inc 47,Media,Enterprise,1624,51674,2038-06-07 02:05:07.853031
CUST000048,Finance Plus 48,Finance,Professional,113,130394,2038-05-08 02:05:07.853031
CUST000049,Global Brands Inc 49,Retail,Enterprise,502,67111,2038-04-08 02:05:07.853031
CUST000050,Fashion House 50,Technology,Professional,4788,132958,2038-03-09 02:05:07.853031
CUST000051,Fashion House 51,Retail,Professional,2000,112211,2038-02-07 02:05:07.853031
CUST000052,Fashion House 52,Retail,Enterprise,1213,75144,2038-01-08 02:05:07.853031
CUST000053,Finance Plus 53,Manufacturing,Professional,3606,76368,2037-12-09 02:05:07.853031
CUST000054,Fashion House 54,Healthcare,Professional,4340,80451,2037-11-09 02:05:07.853031
CUST000055,Retail Giant 55,Retail,Professional,2595,190176,2037-10-10 02:05:07.853031
CUST000056,Healthcare Systems 56,Manufacturing,Standard,2731,46588,2037-09-10 02:05:07.853031
CUST000057,Retail Giant 57,Healthcare,Professional,2956,50001,2037-08-11 02:05:07.853031
CUST000058,Healthcare Systems 58,Technology,Standard,4589,106510,2037-07-12 02:05:07.853031
CUST000059,Acme Corp 59,Healthcare,Professional,4844,27132,2037-06-12 02:05:07.853031
CUST000060,Retail Giant 60,Healthcare,Professional,3318,92415,2037-05-13 02:05:07.853031
CUST000061,Global Brands Inc 61,Manufacturing,Enterprise,285,9539,2037-04-13 02:05:07.853031
CUST000062,Acme Corp 62,Finance,Standard,1574,173630,2037-03-14 02:05:07.853031
CUST000063,MediaCo 63,Healthcare,Professional,3658,136603,2037-02-12 02:05:07.853031
CUST000064,Fashion House 64,Media,Standard,501,180017,2037-01-13 02:05:07.853031
CUST000065,Fashion House 65,Finance,Professional,3332,121464,2036-12-14 02:05:07.853031
CUST000066,TechStart 66,Finance,Enterprise,4420,62199,2036-11-14 02:05:07.853031
CUST000067,MediaCo 67,Education,Professional,2333,174499,2036-10-15 02:05:07.853031
CUST000068,MediaCo 68,Healthcare,Professional,3653,181053,2036-09-15 02:05:07.853031
CUST000069,Global Brands Inc 69,Retail,Standard,3284,6297,2036-08-16 02:05:07.853031
CUST000070,Manufacturing Co 70,Media,Professional,2120,192279,2036-07-17 02:05:07.853031
CUST000071,Education First 71,Manufacturing,Enterprise,2276,182892,2036-06-17 02:05:07.853031
CUST000072,Manufacturing Co 72,Manufacturing,Standard,4488,192141,2036-05-18 02:05:07.853031
CUST000073,Education First 73,Media,Professional,1993,48981,2036-04-18 02:05:07.853031
CUST000074,Retail Giant 74,Technology,Enterprise,1909,77936,2036-03-19 02:05:07.853031
CUST000075,Manufacturing Co 75,Retail,Enterprise,2130,122783,2036-02-18 02:05:07.853031
CUST000076,Healthcare Systems 76,Retail,Professional,876,108607,2036-01-19 02:05:07.853031
CUST000077,Acme Corp 77,Media,Professional,3323,49944,2035-12-20 02:05:07.853031
CUST000078,Education First 78,Retail,Professional,3088,71219,2035-11-20 02:05:07.853031
CUST000079,TechStart 79,Finance,Professional,4522,198395,2035-10-21 02:05:07.853031
CUST000080,TechStart 80,Technology,Professional,4735,189992,2035-09-21 02:05:07.853031
CUST000081,Retail Giant 81,Education,Enterprise,2856,147445,2035-08-22 02:05:07.853031
CUST000082,Education First 82,Education,Professional,3332,99747,2035-07-23 02:05:07.853031
CUST000083,TechStart 83,Finance,Professional,2095,87453,2035-06-23 02:05:07.853031
CUST000084,Education First 84,Education,Enterprise,1527,66240,2035-05-24 02:05:07.853031
CUST000085,Fashion House 85,Education,Enterprise,897,150174,2035-04-24 02:05:07.853031
CUST000086,Healthcare Systems 86,Technology,Enterprise,2079,5358,2035-03-25 02:05:07.853031
CUST000087,Healthcare Systems 87,Healthcare,Standard,1492,180724,2035-02-23 02:05:07.853031
CUST000088,Finance Plus 88,Manufacturing,Professional,3643,80692,2035-01-24 02:05:07.853031
CUST000089,Healthcare Systems 89,Retail,Professional,772,119425,2034-12-25 02:05:07.853031
CUST000090,Manufacturing Co 90,Healthcare,Enterprise,4547,164886,2034-11-25 02:05:07.853031
CUST000091,MediaCo 91,Retail,Enterprise,3666,175658,2034-10-26 02:05:07.853031
CUST000092,Fashion House 92,Healthcare,Professional,3786,147183,2034-09-26 02:05:07.853031
CUST000093,MediaCo 93,Education,Professional,3053,183553,2034-08-27 02:05:07.853031
CUST000094,TechStart 94,Healthcare,Enterprise,144,93796,2034-07-28 02:05:07.853031
CUST000095,Fashion House 95,Finance,Professional,2370,2477,2034-06-28 02:05:07.853031
CUST000096,Healthcare Systems 96,Retail,Standard,1992,39385,2034-05-29 02:05:07.853031
CUST000097,MediaCo 97,Retail,Professional,1231,120326,2034-04-29 02:05:07.853031
CUST000098,Global Brands Inc 98,Finance,Professional,4089,79175,2034-03-30 02:05:07.853031
CUST000099,Education First 99,Retail,Enterprise,3600,136780,2034-02-28 02:05:07.853031
CUST000100,Healthcare Systems 100,Technology,Professional,2237,164727,2034-01-29 02:05:07.853031
CUST000101,Education First 101,Manufacturing,Enterprise,3295,57502,2033-12-30 02:05:07.853031
CUST000102,Finance Plus 102,Education,Enterprise,193,104695,2033-11-30 02:05:07.853031
CUST000103,Finance Plus 103,Healthcare,Professional,1809,180363,2033-10-31 02:05:07.853031
CUST000104,Manufacturing Co 104,Media,Professional,3485,30925,2033-10-01 02:05:07.853031
CUST000105,TechStart 105,Technology,Enterprise,2160,59559,2033-09-01 02:05:07.853031
CUST000106,Healthcare Systems 106,Healthcare,Professional,4083,23027,2033-08-02 02:05:07.853031
CUST000107,Retail Giant 107,Manufacturing,Professional,4873,113841,2033-07-03 02:05:07.853031
CUST000108,Acme Corp 108,Finance,Enterprise,3100,85542,2033-06-03 02:05:07.853031
CUST000109,Global Brands Inc 109,Healthcare,Professional,4810,49152,2033-05-04 02:05:07.853031
CUST000110,Manufacturing Co 110,Retail,Professional,2549,95923,2033-04-04 02:05:07.853031
CUST000111,Education First 111,Retail,Standard,2922,2677,2033-03-05 02:05:07.853031
CUST000112,Fashion House 112,Retail,Standard,1889,112681,2033-02-03 02:05:07.853031
CUST000113,Finance Plus 113,Education,Enterprise,1370,48827,2033-01-04 02:05:07.853031
CUST000114,Healthcare Systems 114,Retail,Professional,4783,27195,2032-12-05 02:05:07.853031
CUST000115,MediaCo 115,Retail,Standard,3436,126830,2032-11-05 02:05:07.853031
CUST000116,Acme Corp 116,Retail,Enterprise,255,150584,2032-10-06 02:05:07.853031
CUST000117,TechStart 117,Healthcare,Enterprise,3729,87276,2032-09-06 02:05:07.853031
CUST000118,Retail Giant 118,Retail,Professional,4852,33777,2032-08-07 02:05:07.853031
CUST000119,MediaCo 119,Media,Enterprise,2086,100759,2032-07-08 02:05:07.853031
CUST000120,Retail Giant 120,Finance,Standard,3005,153900,2032-06-08 02:05:07.853031
CUST000121,Healthcare Systems 121,Education,Enterprise,2829,7967,2032-05-09 02:05:07.853031
CUST000122,MediaCo 122,Technology,Professional,467,24996,2032-04-09 02:05:07.853031
CUST000123,Global Brands Inc 123,Technology,Professional,376,76404,2032-03-10 02:05:07.853031
CUST000124,Manufacturing Co 124,Manufacturing,Enterprise,365,22376,2032-02-09 02:05:07.853031
CUST000125,Retail Giant 125,Manufacturing,Professional,4246,53702,2032-01-10 02:05:07.853031
CUST000126,Manufacturing Co 126,Education,Professional,2560,181506,2031-12-11 02:05:07.853031
CUST000127,Acme Corp 127,Technology,Professional,859,149362,2031-11-11 02:05:07.853031
CUST000128,Manufacturing Co 128,Retail,Professional,1124,135062,2031-10-12 02:05:07.853031
CUST000129,Retail Giant 129,Manufacturing,Professional,3899,132973,2031-09-12 02:05:07.853031
CUST000130,Fashion House 130,Finance,Professional,878,196170,2031-08-13 02:05:07.853031
CUST000131,Manufacturing Co 131,Education,Professional,1729,76919,2031-07-14 02:05:07.853031
CUST000132,Retail Giant 132,Technology,Professional,2867,21551,2031-06-14 02:05:07.853031
CUST000133,Fashion House 133,Media,Professional,3003,113907,2031-05-15 02:05:07.853031
CUST000134,Healthcare Systems 134,Finance,Standard,1392,101882,2031-04-15 02:05:07.853031
CUST000135,Healthcare Systems 135,Finance,Standard,231,61719,2031-03-16 02:05:07.853031
CUST000136,Fashion House 136,Education,Professional,85,188504,2031-02-14 02:05:07.853031
CUST000137,Acme Corp 137,Healthcare,Professional,4087,41516,2031-01-15 02:05:07.853031
CUST000138,MediaCo 138,Manufacturing,Enterprise,1800,141532,2030-12-16 02:05:07.853031
CUST000139,Education First 139,Manufacturing,Standard,2136,61951,2030-11-16 02:05:07.853031
CUST000140,Finance Plus 140,Technology,Professional,1747,27506,2030-10-17 02:05:07.853031
CUST000141,MediaCo 141,Media,Enterprise,2620,29342,2030-09-17 02:05:07.853031
CUST000142,Fashion House 142,Manufacturing,Enterprise,473,74069,2030-08-18 02:05:07.853031
CUST000143,Manufacturing Co 143,Media,Professional,4774,130223,2030-07-19 02:05:07.853031
CUST000144,Finance Plus 144,Manufacturing,Enterprise,2678,181595,2030-06-19 02:05:07.853031
CUST000145,Retail Giant 145,Healthcare,Professional,1921,114371,2030-05-20 02:05:07.853031
CUST000146,Global Brands Inc 146,Retail,Enterprise,638,143572,2030-04-20 02:05:07.853031
CUST000147,Fashion House 147,Retail,Enterprise,1626,31051,2030-03-21 02:05:07.853031
CUST000148,Healthcare Systems 148,Manufacturing,Enterprise,1836,191261,2030-02-19 02:05:07.853031
CUST000149,Healthcare Systems 149,Retail,Professional,313,187883,2030-01-20 02:05:07.853031
CUST000150,Acme Corp 150,Technology,Standard,4766,141627,2029-12-21 02:05:07.853031
CUST000151,Acme Corp 151,Media,Professional,4478,169196,2029-11-21 02:05:07.853031
CUST000152,Healthcare Systems 152,Finance,Professional,2600,53532,2029-10-22 02:05:07.853031
CUST000153,Global Brands Inc 153,Education,Professional,2683,115826,2029-09-22 02:05:07.853031
CUST000154,Retail Giant 154,Retail,Standard,4610,132196,2029-08-23 02:05:07.853031
CUST000155,Healthcare Systems 155,Manufacturing,Professional,4415,1069,2029-07-24 02:05:07.853031
CUST000156,Finance Plus 156,Retail,Professional,4171,121466,2029-06-24 02:05:07.853031
CUST000157,Manufacturing Co 157,Healthcare,Professional,432,135892,2029-05-25 02:05:07.853031
CUST000158,TechStart 158,Education,Professional,1471,44911,2029-04-25 02:05:07.853031
CUST000159,Healthcare Systems 159,Technology,Standard,1839,72768,2029-03-26 02:05:07.853031
CUST000160,TechStart 160,Education,Professional,958,161159,2029-02-24 02:05:07.853031
CUST000161,Acme Corp 161,Technology,Professional,2638,181722,2029-01-25 02:05:07.853031
CUST000162,Fashion House 162,Finance,Enterprise,2423,44237,2028-12-26 02:05:07.853031
CUST000163,Healthcare Systems 163,Retail,Professional,1220,140958,2028-11-26 02:05:07.853031
CUST000164,Acme Corp 164,Manufacturing,Standard,112,74243,2028-10-27 02:05:07.853031
CUST000165,MediaCo 165,Media,Professional,2892,158306,2028-09-27 02:05:07.853031
CUST000166,Fashion House 166,Manufacturing,Professional,4175,127456,2028-08-28 02:05:07.853031
CUST000167,MediaCo 167,Technology,Professional,4939,24055,2028-07-29 02:05:07.853031
CUST000168,TechStart 168,Education,Standard,1240,100441,2028-06-29 02:05:07.853031
CUST000169,Manufacturing Co 169,Finance,Professional,3715,131722,2028-05-30 02:05:07.853031
CUST000170,Global Brands Inc 170,Retail,Professional,522,102254,2028-04-30 02:05:07.853031
CUST000171,Finance Plus 171,Retail,Professional,3261,20173,2028-03-31 02:05:07.853031
CUST000172,Healthcare Systems 172,Education,Enterprise,3777,52214,2028-03-01 02:05:07.853031
CUST000173,Global Brands Inc 173,Retail,Professional,3860,34148,2028-01-31 02:05:07.853031
CUST000174,Finance Plus 174,Manufacturing,Enterprise,3071,117929,2028-01-01 02:05:07.853031
CUST000175,Manufacturing Co 175,Education,Professional,1741,177314,2027-12-02 02:05:07.853031
CUST000176,Finance Plus 176,Manufacturing,Professional,3899,170761,2027-11-02 02:05:07.853031
CUST000177,Acme Corp 177,Manufacturing,Enterprise,4843,183832,2027-10-03 02:05:07.853031
CUST000178,Global Brands Inc 178,Manufacturing,Professional,1535,45848,2027-09-03 02:05:07.853031
CUST000179,Finance Plus 179,Retail,Standard,4816,185848,2027-08-04 02:05:07.853031
CUST000180,MediaCo 180,Manufacturing,Enterprise,4439,134585,2027-07-05 02:05:07.853031
CUST000181,Global Brands Inc 181,Media,Enterprise,2199,90668,2027-06-05 02:05:07.853031
CUST000182,Fashion House 182,Manufacturing,Standard,2457,74656,2027-05-06 02:05:07.853031
CUST000183,Global Brands Inc 183,Media,Enterprise,802,1301,2027-04-06 02:05:07.853031
CUST000184,Healthcare Systems 184,Media,Professional,1298,73257,2027-03-07 02:05:07.853031
CUST000185,Global Brands Inc 185,Finance,Standard,1758,116270,2027-02-05 02:05:07.853031
CUST000186,Global Brands Inc 186,Technology,Enterprise,391,27170,2027-01-06 02:05:07.853031
CUST000187,Fashion House 187,Manufacturing,Professional,3361,100363,2026-12-07 02:05:07.853031
CUST000188,MediaCo 188,Healthcare,Professional,416,55771,2026-11-07 02:05:07.853031
CUST000189,Acme Corp 189,Media,Professional,3014,180740,2026-10-08 02:05:07.853031
CUST000190,Fashion House 190,Education,Enterprise,4564,105944,2026-09-08 02:05:07.853031
CUST000191,Acme Corp 191,Manufacturing,Standard,1545,13238,2026-08-09 02:05:07.853031
CUST000192,Global Brands Inc 192,Finance,Professional,272,155609,2026-07-10 02:05:07.853031
CUST000193,Global Brands Inc 193,Finance,Professional,1951,158783,2026-06-10 02:05:07.853031
CUST000194,TechStart 194,Retail,Enterprise,717,20660,2026-05-11 02:05:07.853031
CUST000195,Retail Giant 195,Technology,Enterprise,2481,27657,2026-04-11 02:05:07.853031
CUST000196,Global Brands Inc 196,Healthcare,Professional,4371,101089,2026-03-12 02:05:07.853031
CUST000197,Retail Giant 197,Technology,Professional,4597,138065,2026-02-10 02:05:07.853031
CUST000198,Fashion House 198,Retail,Professional,3576,157997,2026-01-11 02:05:07.853031
CUST000199,Finance Plus 199,Education,Professional,4044,123189,2025-12-12 02:05:07.853031
CUST000200,Fashion House 200,Healthcare,Professional,4599,147985,2025-11-12 02:05:07.853031
