cause_code,cause_group,cause_description,severity,recommended_action,category
CC_0001,Transport,Cause code 1: Configuration mismatch,Minor,Monitor for pattern recurrence,Hardware
CC_0002,Transport,Cause code 2: Protocol error,Minor,Inspect transport network connectivity,Authentication
CC_0003,Radio Network,Cause code 3: Radio link failure,Warning,Escalate to vendor support,Resource
CC_0004,NAS,Cause code 4: Resource unavailable,Critical,Verify MME capacity and resources,Hardware
CC_0005,Transport,Cause code 5: Congestion detected,Major,Check radio conditions and interference,Authentication
CC_0006,Radio Network,Cause code 6: Congestion detected,Warning,Inspect transport network connectivity,Handover
CC_0007,Protocol,Cause code 7: Protocol error,Minor,Review subscriber authentication settings,Authentication
CC_0008,Miscellaneous,Cause code 8: Protocol error,Minor,Verify MME capacity and resources,Authentication
CC_0009,Miscellaneous,Cause code 9: Congestion detected,Minor,Monitor for pattern recurrence,Configuration
CC_0010,Transport,Cause code 10: Hardware failure,Critical,Inspect transport network connectivity,Resource
CC_0011,Transport,Cause code 11: Authentication rejected,Minor,Verify MME capacity and resources,Authentication
CC_0012,Transport,Cause code 12: Timeout occurred,Minor,Update software to latest version,Authentication
CC_0013,Miscellaneous,Cause code 13: Resource unavailable,Warning,Verify MME capacity and resources,Resource
CC_0014,Protocol,Cause code 14: Protocol error,Warning,Monitor for pattern recurrence,Authentication
CC_0015,NAS,Cause code 15: Authentication rejected,Minor,Escalate to vendor support,Configuration
CC_0016,Transport,Cause code 16: Timeout occurred,Minor,Escalate to vendor support,Authentication
CC_0017,NAS,Cause code 17: Congestion detected,Minor,Escalate to vendor support,Configuration
CC_0018,Transport,Cause code 18: Protocol error,Minor,Escalate to vendor support,Hardware
CC_0019,Protocol,Cause code 19: Resource unavailable,Minor,Monitor for pattern recurrence,Configuration
CC_0020,Protocol,Cause code 20: Protocol error,Minor,Update software to latest version,Resource
CC_0021,Miscellaneous,Cause code 21: Hardware failure,Warning,Escalate to vendor support,Resource
CC_0022,Transport,Cause code 22: Authentication rejected,Minor,Check radio conditions and interference,Configuration
CC_0023,NAS,Cause code 23: Protocol error,Minor,Review subscriber authentication settings,Resource
CC_0024,Protocol,Cause code 24: Radio link failure,Warning,Review subscriber authentication settings,Handover
CC_0025,Protocol,Cause code 25: Configuration mismatch,Major,Verify MME capacity and resources,Hardware
CC_0026,Miscellaneous,Cause code 26: Protocol error,Major,Update software to latest version,Authentication
CC_0027,NAS,Cause code 27: Configuration mismatch,Minor,Check radio conditions and interference,Hardware
CC_0028,Miscellaneous,Cause code 28: Congestion detected,Major,Review subscriber authentication settings,Resource
CC_0029,Transport,Cause code 29: Radio link failure,Minor,Review subscriber authentication settings,Resource
CC_0030,NAS,Cause code 30: Radio link failure,Minor,Check radio conditions and interference,Hardware
CC_0031,Transport,Cause code 31: Hardware failure,Warning,Monitor for pattern recurrence,Authentication
CC_0032,Miscellaneous,Cause code 32: Configuration mismatch,Warning,Verify MME capacity and resources,Handover
CC_0033,Radio Network,Cause code 33: Hardware failure,Minor,Review subscriber authentication settings,Handover
CC_0034,NAS,Cause code 34: Resource unavailable,Minor,Check radio conditions and interference,Configuration
CC_0035,Protocol,Cause code 35: Authentication rejected,Minor,Inspect transport network connectivity,Configuration
CC_0036,Radio Network,Cause code 36: Hardware failure,Minor,Monitor for pattern recurrence,Handover
CC_0037,Radio Network,Cause code 37: Congestion detected,Critical,Check radio conditions and interference,Handover
CC_0038,Miscellaneous,Cause code 38: Protocol error,Minor,Escalate to vendor support,Configuration
CC_0039,Miscellaneous,Cause code 39: Authentication rejected,Minor,Restart affected network element,Hardware
CC_0040,Miscellaneous,Cause code 40: Resource unavailable,Minor,Update software to latest version,Configuration
CC_0041,Protocol,Cause code 41: Protocol error,Major,Inspect transport network connectivity,Configuration
CC_0042,Protocol,Cause code 42: Hardware failure,Warning,Review subscriber authentication settings,Handover
CC_0043,Radio Network,Cause code 43: Resource unavailable,Major,Verify MME capacity and resources,Resource
CC_0044,NAS,Cause code 44: Timeout occurred,Minor,Escalate to vendor support,Hardware
CC_0045,Transport,Cause code 45: Hardware failure,Major,Escalate to vendor support,Handover
CC_0046,Miscellaneous,Cause code 46: Resource unavailable,Warning,Verify MME capacity and resources,Configuration
CC_0047,Miscellaneous,Cause code 47: Congestion detected,Warning,Verify MME capacity and resources,Hardware
CC_0048,Protocol,Cause code 48: Congestion detected,Minor,Check radio conditions and interference,Handover
CC_0049,Miscellaneous,Cause code 49: Congestion detected,Major,Restart affected network element,Handover
CC_0050,NAS,Cause code 50: Timeout occurred,Major,Monitor for pattern recurrence,Configuration
CC_0051,Miscellaneous,Cause code 51: Authentication rejected,Warning,Update software to latest version,Hardware
CC_0052,NAS,Cause code 52: Protocol error,Minor,Monitor for pattern recurrence,Authentication
CC_0053,Radio Network,Cause code 53: Timeout occurred,Warning,Update software to latest version,Authentication
CC_0054,Radio Network,Cause code 54: Configuration mismatch,Major,Monitor for pattern recurrence,Hardware
CC_0055,Miscellaneous,Cause code 55: Authentication rejected,Warning,Restart affected network element,Authentication
CC_0056,Miscellaneous,Cause code 56: Resource unavailable,Minor,Update software to latest version,Handover
CC_0057,Protocol,Cause code 57: Timeout occurred,Minor,Restart affected network element,Resource
CC_0058,Miscellaneous,Cause code 58: Resource unavailable,Minor,Escalate to vendor support,Configuration
CC_0059,Transport,Cause code 59: Hardware failure,Warning,Review subscriber authentication settings,Authentication
CC_0060,Transport,Cause code 60: Protocol error,Minor,Review subscriber authentication settings,Configuration
CC_0061,Protocol,Cause code 61: Protocol error,Minor,Check radio conditions and interference,Resource
CC_0062,Radio Network,Cause code 62: Hardware failure,Warning,Restart affected network element,Authentication
CC_0063,NAS,Cause code 63: Resource unavailable,Warning,Update software to latest version,Configuration
CC_0064,NAS,Cause code 64: Radio link failure,Warning,Monitor for pattern recurrence,Hardware
CC_0065,Protocol,Cause code 65: Timeout occurred,Warning,Check radio conditions and interference,Configuration
CC_0066,Radio Network,Cause code 66: Configuration mismatch,Minor,Inspect transport network connectivity,Resource
CC_0067,Miscellaneous,Cause code 67: Hardware failure,Critical,Check radio conditions and interference,Configuration
CC_0068,NAS,Cause code 68: Congestion detected,Minor,Verify MME capacity and resources,Handover
CC_0069,Protocol,Cause code 69: Timeout occurred,Major,Check radio conditions and interference,Handover
CC_0070,Transport,Cause code 70: Configuration mismatch,Minor,Inspect transport network connectivity,Authentication
CC_0071,NAS,Cause code 71: Authentication rejected,Minor,Escalate to vendor support,Hardware
CC_0072,Transport,Cause code 72: Timeout occurred,Major,Restart affected network element,Handover
CC_0073,Protocol,Cause code 73: Radio link failure,Warning,Check radio conditions and interference,Handover
CC_0074,NAS,Cause code 74: Resource unavailable,Warning,Review subscriber authentication settings,Configuration
CC_0075,Protocol,Cause code 75: Radio link failure,Warning,Inspect transport network connectivity,Handover
CC_0076,NAS,Cause code 76: Authentication rejected,Minor,Escalate to vendor support,Hardware
CC_0077,Transport,Cause code 77: Congestion detected,Major,Escalate to vendor support,Resource
CC_0078,Transport,Cause code 78: Congestion detected,Minor,Check radio conditions and interference,Resource
CC_0079,Miscellaneous,Cause code 79: Protocol error,Critical,Check radio conditions and interference,Hardware
CC_0080,Protocol,Cause code 80: Configuration mismatch,Minor,Escalate to vendor support,Handover
CC_0081,Miscellaneous,Cause code 81: Timeout occurred,Critical,Escalate to vendor support,Authentication
CC_0082,NAS,Cause code 82: Resource unavailable,Warning,Update software to latest version,Resource
CC_0083,NAS,Cause code 83: Hardware failure,Warning,Restart affected network element,Authentication
CC_0084,Transport,Cause code 84: Timeout occurred,Critical,Monitor for pattern recurrence,Configuration
CC_0085,Transport,Cause code 85: Authentication rejected,Warning,Restart affected network element,Resource
CC_0086,Radio Network,Cause code 86: Radio link failure,Major,Restart affected network element,Configuration
CC_0087,Transport,Cause code 87: Protocol error,Warning,Inspect transport network connectivity,Handover
CC_0088,Radio Network,Cause code 88: Configuration mismatch,Major,Update software to latest version,Hardware
CC_0089,Protocol,Cause code 89: Hardware failure,Minor,Escalate to vendor support,Hardware
CC_0090,Protocol,Cause code 90: Protocol error,Minor,Inspect transport network connectivity,Hardware
CC_0091,Miscellaneous,Cause code 91: Configuration mismatch,Warning,Escalate to vendor support,Authentication
CC_0092,Miscellaneous,Cause code 92: Hardware failure,Critical,Review subscriber authentication settings,Hardware
CC_0093,Radio Network,Cause code 93: Timeout occurred,Minor,Update software to latest version,Authentication
CC_0094,Radio Network,Cause code 94: Resource unavailable,Major,Update software to latest version,Hardware
CC_0095,Radio Network,Cause code 95: Configuration mismatch,Warning,Update software to latest version,Handover
CC_0096,Miscellaneous,Cause code 96: Radio link failure,Minor,Restart affected network element,Authentication
CC_0097,Radio Network,Cause code 97: Resource unavailable,Critical,Restart affected network element,Configuration
CC_0098,Protocol,Cause code 98: Hardware failure,Minor,Check radio conditions and interference,Hardware
CC_0099,Protocol,Cause code 99: Protocol error,Minor,Update software to latest version,Hardware
CC_0100,Miscellaneous,Cause code 100: Resource unavailable,Major,Verify MME capacity and resources,Resource
CC_0101,NAS,Cause code 101: Congestion detected,Major,Review subscriber authentication settings,Authentication
CC_0102,NAS,Cause code 102: Protocol error,Minor,Escalate to vendor support,Handover
CC_0103,Radio Network,Cause code 103: Timeout occurred,Major,Restart affected network element,Resource
CC_0104,Radio Network,Cause code 104: Authentication rejected,Major,Update software to latest version,Configuration
CC_0105,Transport,Cause code 105: Hardware failure,Critical,Inspect transport network connectivity,Hardware
CC_0106,Radio Network,Cause code 106: Authentication rejected,Major,Review subscriber authentication settings,Authentication
CC_0107,Radio Network,Cause code 107: Congestion detected,Minor,Restart affected network element,Handover
CC_0108,Protocol,Cause code 108: Hardware failure,Warning,Check radio conditions and interference,Hardware
CC_0109,NAS,Cause code 109: Hardware failure,Critical,Check radio conditions and interference,Handover
CC_0110,Protocol,Cause code 110: Timeout occurred,Minor,Restart affected network element,Handover
CC_0111,Transport,Cause code 111: Configuration mismatch,Minor,Verify MME capacity and resources,Resource
CC_0112,Protocol,Cause code 112: Hardware failure,Minor,Inspect transport network connectivity,Resource
CC_0113,Radio Network,Cause code 113: Radio link failure,Minor,Monitor for pattern recurrence,Hardware
CC_0114,Miscellaneous,Cause code 114: Resource unavailable,Minor,Escalate to vendor support,Handover
CC_0115,Miscellaneous,Cause code 115: Hardware failure,Minor,Review subscriber authentication settings,Configuration
CC_0116,Protocol,Cause code 116: Radio link failure,Major,Restart affected network element,Handover
CC_0117,Transport,Cause code 117: Timeout occurred,Critical,Escalate to vendor support,Handover
CC_0118,Miscellaneous,Cause code 118: Congestion detected,Warning,Restart affected network element,Handover
CC_0119,Miscellaneous,Cause code 119: Radio link failure,Warning,Escalate to vendor support,Configuration
CC_0120,Miscellaneous,Cause code 120: Resource unavailable,Minor,Review subscriber authentication settings,Handover
CC_0121,Radio Network,Cause code 121: Protocol error,Major,Monitor for pattern recurrence,Handover
CC_0122,Miscellaneous,Cause code 122: Protocol error,Warning,Update software to latest version,Hardware
CC_0123,NAS,Cause code 123: Authentication rejected,Minor,Restart affected network element,Handover
CC_0124,Transport,Cause code 124: Timeout occurred,Warning,Update software to latest version,Hardware
CC_0125,Transport,Cause code 125: Congestion detected,Major,Check radio conditions and interference,Configuration
CC_0126,Transport,Cause code 126: Resource unavailable,Major,Monitor for pattern recurrence,Resource
CC_0127,Protocol,Cause code 127: Hardware failure,Minor,Inspect transport network connectivity,Authentication
CC_0128,NAS,Cause code 128: Authentication rejected,Warning,Monitor for pattern recurrence,Configuration
CC_0129,Radio Network,Cause code 129: Resource unavailable,Minor,Verify MME capacity and resources,Resource
CC_0130,Protocol,Cause code 130: Protocol error,Minor,Verify MME capacity and resources,Configuration
CC_0131,Transport,Cause code 131: Radio link failure,Minor,Restart affected network element,Handover
CC_0132,Miscellaneous,Cause code 132: Radio link failure,Major,Inspect transport network connectivity,Configuration
CC_0133,Radio Network,Cause code 133: Protocol error,Minor,Monitor for pattern recurrence,Hardware
CC_0134,Miscellaneous,Cause code 134: Radio link failure,Minor,Check radio conditions and interference,Resource
CC_0135,NAS,Cause code 135: Resource unavailable,Minor,Monitor for pattern recurrence,Configuration
CC_0136,NAS,Cause code 136: Radio link failure,Warning,Verify MME capacity and resources,Resource
CC_0137,Transport,Cause code 137: Resource unavailable,Warning,Restart affected network element,Handover
CC_0138,Miscellaneous,Cause code 138: Hardware failure,Minor,Verify MME capacity and resources,Hardware
CC_0139,Protocol,Cause code 139: Configuration mismatch,Warning,Verify MME capacity and resources,Authentication
CC_0140,Miscellaneous,Cause code 140: Radio link failure,Warning,Review subscriber authentication settings,Hardware
CC_0141,Transport,Cause code 141: Protocol error,Minor,Inspect transport network connectivity,Hardware
CC_0142,Transport,Cause code 142: Radio link failure,Minor,Escalate to vendor support,Authentication
CC_0143,NAS,Cause code 143: Congestion detected,Warning,Check radio conditions and interference,Handover
CC_0144,Radio Network,Cause code 144: Authentication rejected,Warning,Monitor for pattern recurrence,Resource
CC_0145,Protocol,Cause code 145: Configuration mismatch,Minor,Verify MME capacity and resources,Handover
CC_0146,NAS,Cause code 146: Protocol error,Minor,Monitor for pattern recurrence,Resource
CC_0147,Transport,Cause code 147: Radio link failure,Major,Restart affected network element,Resource
CC_0148,Transport,Cause code 148: Authentication rejected,Warning,Monitor for pattern recurrence,Hardware
CC_0149,Protocol,Cause code 149: Resource unavailable,Minor,Inspect transport network connectivity,Resource
CC_0150,Protocol,Cause code 150: Timeout occurred,Warning,Escalate to vendor support,Authentication
CC_0151,NAS,Cause code 151: Authentication rejected,Warning,Check radio conditions and interference,Configuration
CC_0152,Transport,Cause code 152: Congestion detected,Warning,Verify MME capacity and resources,Resource
CC_0153,Protocol,Cause code 153: Resource unavailable,Warning,Restart affected network element,Handover
CC_0154,Protocol,Cause code 154: Authentication rejected,Minor,Update software to latest version,Authentication
CC_0155,Protocol,Cause code 155: Radio link failure,Minor,Monitor for pattern recurrence,Handover
CC_0156,Radio Network,Cause code 156: Protocol error,Warning,Review subscriber authentication settings,Configuration
CC_0157,Miscellaneous,Cause code 157: Authentication rejected,Major,Verify MME capacity and resources,Handover
CC_0158,Protocol,Cause code 158: Hardware failure,Critical,Update software to latest version,Handover
CC_0159,Transport,Cause code 159: Timeout occurred,Warning,Monitor for pattern recurrence,Configuration
CC_0160,Miscellaneous,Cause code 160: Timeout occurred,Minor,Monitor for pattern recurrence,Configuration
CC_0161,Transport,Cause code 161: Protocol error,Minor,Inspect transport network connectivity,Handover
CC_0162,Transport,Cause code 162: Resource unavailable,Critical,Escalate to vendor support,Authentication
CC_0163,Transport,Cause code 163: Hardware failure,Minor,Monitor for pattern recurrence,Handover
CC_0164,NAS,Cause code 164: Configuration mismatch,Warning,Verify MME capacity and resources,Handover
CC_0165,Protocol,Cause code 165: Resource unavailable,Minor,Review subscriber authentication settings,Hardware
CC_0166,Protocol,Cause code 166: Authentication rejected,Minor,Update software to latest version,Hardware
CC_0167,NAS,Cause code 167: Hardware failure,Major,Escalate to vendor support,Configuration
CC_0168,Miscellaneous,Cause code 168: Hardware failure,Minor,Review subscriber authentication settings,Resource
CC_0169,Transport,Cause code 169: Protocol error,Critical,Inspect transport network connectivity,Configuration
CC_0170,Miscellaneous,Cause code 170: Congestion detected,Major,Monitor for pattern recurrence,Hardware
CC_0171,Radio Network,Cause code 171: Authentication rejected,Warning,Update software to latest version,Authentication
CC_0172,Protocol,Cause code 172: Resource unavailable,Warning,Restart affected network element,Resource
CC_0173,NAS,Cause code 173: Radio link failure,Warning,Verify MME capacity and resources,Handover
CC_0174,NAS,Cause code 174: Protocol error,Minor,Update software to latest version,Hardware
CC_0175,Protocol,Cause code 175: Resource unavailable,Minor,Monitor for pattern recurrence,Handover
CC_0176,NAS,Cause code 176: Authentication rejected,Minor,Update software to latest version,Authentication
CC_0177,Transport,Cause code 177: Radio link failure,Warning,Restart affected network element,Handover
CC_0178,Miscellaneous,Cause code 178: Protocol error,Critical,Monitor for pattern recurrence,Configuration
CC_0179,Miscellaneous,Cause code 179: Resource unavailable,Major,Escalate to vendor support,Resource
CC_0180,NAS,Cause code 180: Resource unavailable,Major,Restart affected network element,Configuration
CC_0181,Radio Network,Cause code 181: Resource unavailable,Minor,Escalate to vendor support,Authentication
CC_0182,NAS,Cause code 182: Timeout occurred,Minor,Escalate to vendor support,Handover
CC_0183,Transport,Cause code 183: Resource unavailable,Minor,Restart affected network element,Authentication
CC_0184,Transport,Cause code 184: Authentication rejected,Warning,Verify MME capacity and resources,Authentication
CC_0185,Miscellaneous,Cause code 185: Hardware failure,Major,Verify MME capacity and resources,Resource
CC_0186,Protocol,Cause code 186: Resource unavailable,Warning,Escalate to vendor support,Hardware
CC_0187,Miscellaneous,Cause code 187: Hardware failure,Minor,Monitor for pattern recurrence,Handover
CC_0188,Radio Network,Cause code 188: Protocol error,Minor,Review subscriber authentication settings,Handover
CC_0189,Radio Network,Cause code 189: Configuration mismatch,Major,Monitor for pattern recurrence,Authentication
CC_0190,Radio Network,Cause code 190: Authentication rejected,Minor,Inspect transport network connectivity,Resource
CC_0191,Miscellaneous,Cause code 191: Authentication rejected,Minor,Review subscriber authentication settings,Handover
CC_0192,Protocol,Cause code 192: Timeout occurred,Major,Monitor for pattern recurrence,Hardware
CC_0193,Miscellaneous,Cause code 193: Timeout occurred,Warning,Escalate to vendor support,Hardware
CC_0194,Radio Network,Cause code 194: Hardware failure,Minor,Monitor for pattern recurrence,Configuration
CC_0195,Miscellaneous,Cause code 195: Hardware failure,Major,Review subscriber authentication settings,Configuration
CC_0196,Miscellaneous,Cause code 196: Congestion detected,Minor,Check radio conditions and interference,Authentication
CC_0197,Radio Network,Cause code 197: Resource unavailable,Critical,Check radio conditions and interference,Hardware
CC_0198,Transport,Cause code 198: Radio link failure,Minor,Escalate to vendor support,Resource
CC_0199,NAS,Cause code 199: Authentication rejected,Warning,Escalate to vendor support,Resource
CC_0200,Miscellaneous,Cause code 200: Resource unavailable,Warning,Check radio conditions and interference,Authentication
CC_0201,NAS,Cause code 201: Timeout occurred,Warning,Inspect transport network connectivity,Configuration
CC_0202,NAS,Cause code 202: Radio link failure,Major,Escalate to vendor support,Resource
CC_0203,Protocol,Cause code 203: Timeout occurred,Minor,Inspect transport network connectivity,Configuration
CC_0204,Transport,Cause code 204: Resource unavailable,Major,Inspect transport network connectivity,Resource
CC_0205,Transport,Cause code 205: Resource unavailable,Minor,Restart affected network element,Handover
CC_0206,Radio Network,Cause code 206: Configuration mismatch,Warning,Update software to latest version,Hardware
CC_0207,Miscellaneous,Cause code 207: Protocol error,Major,Inspect transport network connectivity,Hardware
CC_0208,Miscellaneous,Cause code 208: Authentication rejected,Critical,Update software to latest version,Handover
CC_0209,Miscellaneous,Cause code 209: Congestion detected,Warning,Inspect transport network connectivity,Handover
CC_0210,Miscellaneous,Cause code 210: Protocol error,Minor,Monitor for pattern recurrence,Authentication
CC_0211,Miscellaneous,Cause code 211: Timeout occurred,Minor,Update software to latest version,Authentication
CC_0212,Transport,Cause code 212: Radio link failure,Minor,Review subscriber authentication settings,Resource
CC_0213,Radio Network,Cause code 213: Hardware failure,Minor,Review subscriber authentication settings,Authentication
CC_0214,Protocol,Cause code 214: Configuration mismatch,Major,Review subscriber authentication settings,Authentication
CC_0215,Transport,Cause code 215: Resource unavailable,Minor,Verify MME capacity and resources,Handover
CC_0216,Miscellaneous,Cause code 216: Protocol error,Minor,Restart affected network element,Resource
CC_0217,Miscellaneous,Cause code 217: Protocol error,Major,Restart affected network element,Hardware
CC_0218,Radio Network,Cause code 218: Timeout occurred,Minor,Escalate to vendor support,Resource
CC_0219,Protocol,Cause code 219: Resource unavailable,Minor,Monitor for pattern recurrence,Authentication
CC_0220,Miscellaneous,Cause code 220: Configuration mismatch,Minor,Restart affected network element,Resource
CC_0221,Radio Network,Cause code 221: Hardware failure,Warning,Update software to latest version,Resource
CC_0222,Transport,Cause code 222: Authentication rejected,Warning,Monitor for pattern recurrence,Authentication
CC_0223,Transport,Cause code 223: Congestion detected,Warning,Update software to latest version,Resource
CC_0224,Miscellaneous,Cause code 224: Authentication rejected,Critical,Escalate to vendor support,Resource
CC_0225,Radio Network,Cause code 225: Resource unavailable,Minor,Update software to latest version,Handover
CC_0226,NAS,Cause code 226: Radio link failure,Warning,Review subscriber authentication settings,Resource
CC_0227,Miscellaneous,Cause code 227: Authentication rejected,Minor,Verify MME capacity and resources,Configuration
CC_0228,NAS,Cause code 228: Configuration mismatch,Warning,Update software to latest version,Authentication
CC_0229,Miscellaneous,Cause code 229: Timeout occurred,Warning,Escalate to vendor support,Hardware
CC_0230,Radio Network,Cause code 230: Resource unavailable,Critical,Update software to latest version,Handover
CC_0231,Radio Network,Cause code 231: Timeout occurred,Major,Check radio conditions and interference,Configuration
CC_0232,Protocol,Cause code 232: Resource unavailable,Minor,Restart affected network element,Handover
CC_0233,Transport,Cause code 233: Resource unavailable,Warning,Verify MME capacity and resources,Authentication
CC_0234,Radio Network,Cause code 234: Authentication rejected,Minor,Review subscriber authentication settings,Authentication
CC_0235,Protocol,Cause code 235: Resource unavailable,Minor,Review subscriber authentication settings,Authentication
CC_0236,Protocol,Cause code 236: Radio link failure,Minor,Inspect transport network connectivity,Authentication
CC_0237,Miscellaneous,Cause code 237: Configuration mismatch,Minor,Restart affected network element,Configuration
CC_0238,Transport,Cause code 238: Protocol error,Critical,Update software to latest version,Configuration
CC_0239,Radio Network,Cause code 239: Resource unavailable,Minor,Escalate to vendor support,Hardware
CC_0240,NAS,Cause code 240: Radio link failure,Warning,Inspect transport network connectivity,Authentication
CC_0241,Transport,Cause code 241: Resource unavailable,Warning,Verify MME capacity and resources,Handover
CC_0242,Transport,Cause code 242: Timeout occurred,Minor,Restart affected network element,Handover
CC_0243,Miscellaneous,Cause code 243: Timeout occurred,Warning,Inspect transport network connectivity,Hardware
CC_0244,Transport,Cause code 244: Radio link failure,Warning,Monitor for pattern recurrence,Authentication
CC_0245,NAS,Cause code 245: Congestion detected,Minor,Check radio conditions and interference,Authentication
CC_0246,Transport,Cause code 246: Authentication rejected,Minor,Verify MME capacity and resources,Authentication
CC_0247,NAS,Cause code 247: Configuration mismatch,Warning,Verify MME capacity and resources,Resource
CC_0248,Miscellaneous,Cause code 248: Resource unavailable,Minor,Update software to latest version,Hardware
CC_0249,Transport,Cause code 249: Authentication rejected,Critical,Monitor for pattern recurrence,Hardware
CC_0250,Protocol,Cause code 250: Resource unavailable,Major,Review subscriber authentication settings,Handover
CC_0251,Protocol,Cause code 251: Radio link failure,Minor,Review subscriber authentication settings,Handover
CC_0252,Miscellaneous,Cause code 252: Radio link failure,Warning,Check radio conditions and interference,Configuration
CC_0253,Miscellaneous,Cause code 253: Timeout occurred,Minor,Update software to latest version,Configuration
CC_0254,NAS,Cause code 254: Congestion detected,Minor,Restart affected network element,Handover
CC_0255,Protocol,Cause code 255: Authentication rejected,Minor,Escalate to vendor support,Resource
CC_0256,Protocol,Cause code 256: Resource unavailable,Warning,Review subscriber authentication settings,Handover
CC_0257,NAS,Cause code 257: Congestion detected,Warning,Update software to latest version,Configuration
CC_0258,Radio Network,Cause code 258: Authentication rejected,Major,Escalate to vendor support,Configuration
CC_0259,Transport,Cause code 259: Radio link failure,Minor,Verify MME capacity and resources,Resource
CC_0260,NAS,Cause code 260: Configuration mismatch,Minor,Escalate to vendor support,Configuration
CC_0261,Transport,Cause code 261: Protocol error,Minor,Verify MME capacity and resources,Handover
CC_0262,Radio Network,Cause code 262: Hardware failure,Minor,Escalate to vendor support,Authentication
CC_0263,NAS,Cause code 263: Protocol error,Major,Update software to latest version,Resource
CC_0264,NAS,Cause code 264: Configuration mismatch,Minor,Verify MME capacity and resources,Configuration
CC_0265,Transport,Cause code 265: Hardware failure,Minor,Review subscriber authentication settings,Resource
CC_0266,Transport,Cause code 266: Timeout occurred,Major,Check radio conditions and interference,Handover
CC_0267,Protocol,Cause code 267: Configuration mismatch,Critical,Monitor for pattern recurrence,Handover
