cause_code,cause_group,cause_description,severity,recommended_action,category
CC_0268,Miscellaneous,Cause code 268: Resource unavailable,Minor,Update software to latest version,Hardware
CC_0269,Protocol,Cause code 269: Timeout occurred,Major,Monitor for pattern recurrence,Hardware
CC_0270,Miscellaneous,Cause code 270: Congestion detected,Warning,Verify MME capacity and resources,Authentication
CC_0271,NAS,Cause code 271: Authentication rejected,Major,Check radio conditions and interference,Configuration
CC_0272,Miscellaneous,Cause code 272: Timeout occurred,Major,Check radio conditions and interference,Configuration
CC_0273,Miscellaneous,Cause code 273: Timeout occurred,Minor,Inspect transport network connectivity,Hardware
CC_0274,Transport,Cause code 274: Timeout occurred,Critical,Verify MME capacity and resources,Handover
CC_0275,Transport,Cause code 275: Congestion detected,Major,Verify MME capacity and resources,Handover
CC_0276,Transport,Cause code 276: Hardware failure,Minor,Restart affected network element,Configuration
CC_0277,Radio Network,Cause code 277: Timeout occurred,Warning,Review subscriber authentication settings,Authentication
CC_0278,Miscellaneous,Cause code 278: Protocol error,Warning,Update software to latest version,Authentication
CC_0279,Transport,Cause code 279: Timeout occurred,Warning,Escalate to vendor support,Handover
CC_0280,Radio Network,Cause code 280: Hardware failure,Minor,Escalate to vendor support,Hardware
CC_0281,Transport,Cause code 281: Hardware failure,Minor,Review subscriber authentication settings,Hardware
CC_0282,Miscellaneous,Cause code 282: Resource unavailable,Warning,Review subscriber authentication settings,Configuration
CC_0283,Transport,Cause code 283: Congestion detected,Minor,Check radio conditions and interference,Configuration
CC_0284,Protocol,Cause code 284: Hardware failure,Critical,Check radio conditions and interference,Handover
CC_0285,Protocol,Cause code 285: Protocol error,Warning,Verify MME capacity and resources,Resource
CC_0286,Miscellaneous,Cause code 286: Authentication rejected,Major,Verify MME capacity and resources,Handover
CC_0287,Radio Network,Cause code 287: Protocol error,Major,Review subscriber authentication settings,Authentication
CC_0288,Radio Network,Cause code 288: Configuration mismatch,Major,Update software to latest version,Handover
CC_0289,Miscellaneous,Cause code 289: Hardware failure,Minor,Escalate to vendor support,Configuration
CC_0290,NAS,Cause code 290: Authentication rejected,Minor,Check radio conditions and interference,Resource
CC_0291,Radio Network,Cause code 291: Protocol error,Minor,Update software to latest version,Configuration
CC_0292,Transport,Cause code 292: Configuration mismatch,Critical,Review subscriber authentication settings,Hardware
CC_0293,Transport,Cause code 293: Congestion detected,Warning,Review subscriber authentication settings,Resource
CC_0294,Protocol,Cause code 294: Radio link failure,Warning,Restart affected network element,Hardware
CC_0295,NAS,Cause code 295: Congestion detected,Minor,Inspect transport network connectivity,Resource
CC_0296,Miscellaneous,Cause code 296: Protocol error,Minor,Escalate to vendor support,Authentication
CC_0297,Transport,Cause code 297: Congestion detected,Major,Restart affected network element,Handover
CC_0298,Protocol,Cause code 298: Configuration mismatch,Critical,Check radio conditions and interference,Resource
CC_0299,Protocol,Cause code 299: Resource unavailable,Minor,Inspect transport network connectivity,Configuration
CC_0300,Protocol,Cause code 300: Hardware failure,Minor,Inspect transport network connectivity,Authentication
CC_0301,Radio Network,Cause code 301: Timeout occurred,Warning,Escalate to vendor support,Resource
CC_0302,Transport,Cause code 302: Resource unavailable,Minor,Monitor for pattern recurrence,Authentication
CC_0303,Transport,Cause code 303: Authentication rejected,Minor,Review subscriber authentication settings,Hardware
CC_0304,NAS,Cause code 304: Resource unavailable,Critical,Check radio conditions and interference,Resource
CC_0305,Radio Network,Cause code 305: Radio link failure,Major,Review subscriber authentication settings,Handover
CC_0306,Protocol,Cause code 306: Radio link failure,Warning,Restart affected network element,Configuration
CC_0307,NAS,Cause code 307: Protocol error,Warning,Check radio conditions and interference,Configuration
CC_0308,Radio Network,Cause code 308: Protocol error,Minor,Update software to latest version,Hardware
CC_0309,Radio Network,Cause code 309: Timeout occurred,Major,Monitor for pattern recurrence,Handover
CC_0310,Protocol,Cause code 310: Resource unavailable,Minor,Update software to latest version,Resource
CC_0311,NAS,Cause code 311: Configuration mismatch,Warning,Verify MME capacity and resources,Hardware
CC_0312,Miscellaneous,Cause code 312: Hardware failure,Minor,Check radio conditions and interference,Hardware
CC_0313,Transport,Cause code 313: Configuration mismatch,Warning,Inspect transport network connectivity,Hardware
CC_0314,NAS,Cause code 314: Resource unavailable,Critical,Restart affected network element,Handover
CC_0315,NAS,Cause code 315: Hardware failure,Minor,Check radio conditions and interference,Resource
CC_0316,NAS,Cause code 316: Congestion detected,Minor,Review subscriber authentication settings,Authentication
CC_0317,Protocol,Cause code 317: Resource unavailable,Minor,Inspect transport network connectivity,Handover
CC_0318,Miscellaneous,Cause code 318: Hardware failure,Warning,Verify MME capacity and resources,Hardware
CC_0319,NAS,Cause code 319: Hardware failure,Minor,Verify MME capacity and resources,Resource
CC_0320,Protocol,Cause code 320: Timeout occurred,Warning,Monitor for pattern recurrence,Resource
CC_0321,Radio Network,Cause code 321: Authentication rejected,Major,Monitor for pattern recurrence,Hardware
CC_0322,Transport,Cause code 322: Protocol error,Major,Monitor for pattern recurrence,Resource
CC_0323,NAS,Cause code 323: Protocol error,Minor,Restart affected network element,Resource
CC_0324,NAS,Cause code 324: Protocol error,Minor,Verify MME capacity and resources,Handover
CC_0325,Miscellaneous,Cause code 325: Configuration mismatch,Warning,Monitor for pattern recurrence,Authentication
CC_0326,Transport,Cause code 326: Radio link failure,Major,Update software to latest version,Configuration
CC_0327,Transport,Cause code 327: Authentication rejected,Warning,Restart affected network element,Handover
CC_0328,Transport,Cause code 328: Protocol error,Minor,Monitor for pattern recurrence,Hardware
CC_0329,NAS,Cause code 329: Congestion detected,Minor,Review subscriber authentication settings,Hardware
CC_0330,NAS,Cause code 330: Radio link failure,Warning,Inspect transport network connectivity,Resource
CC_0331,NAS,Cause code 331: Timeout occurred,Minor,Restart affected network element,Resource
CC_0332,Miscellaneous,Cause code 332: Radio link failure,Critical,Monitor for pattern recurrence,Configuration
CC_0333,Protocol,Cause code 333: Authentication rejected,Minor,Restart affected network element,Handover
CC_0334,Transport,Cause code 334: Configuration mismatch,Warning,Restart affected network element,Hardware
CC_0335,Radio Network,Cause code 335: Protocol error,Major,Inspect transport network connectivity,Handover
CC_0336,Transport,Cause code 336: Configuration mismatch,Minor,Inspect transport network connectivity,Handover
CC_0337,Radio Network,Cause code 337: Resource unavailable,Warning,Monitor for pattern recurrence,Hardware
CC_0338,Miscellaneous,Cause code 338: Protocol error,Warning,Update software to latest version,Resource
CC_0339,NAS,Cause code 339: Authentication rejected,Major,Check radio conditions and interference,Hardware
CC_0340,Miscellaneous,Cause code 340: Hardware failure,Minor,Review subscriber authentication settings,Hardware
CC_0341,Miscellaneous,Cause code 341: Timeout occurred,Warning,Check radio conditions and interference,Resource
CC_0342,Transport,Cause code 342: Timeout occurred,Warning,Inspect transport network connectivity,Configuration
CC_0343,Radio Network,Cause code 343: Protocol error,Warning,Update software to latest version,Handover
CC_0344,Radio Network,Cause code 344: Congestion detected,Warning,Check radio conditions and interference,Configuration
CC_0345,NAS,Cause code 345: Radio link failure,Warning,Review subscriber authentication settings,Handover
CC_0346,Miscellaneous,Cause code 346: Hardware failure,Minor,Check radio conditions and interference,Resource
CC_0347,Protocol,Cause code 347: Configuration mismatch,Major,Monitor for pattern recurrence,Hardware
CC_0348,Radio Network,Cause code 348: Congestion detected,Warning,Inspect transport network connectivity,Hardware
CC_0349,Protocol,Cause code 349: Timeout occurred,Warning,Inspect transport network connectivity,Configuration
CC_0350,Radio Network,Cause code 350: Congestion detected,Critical,Escalate to vendor support,Hardware
CC_0351,NAS,Cause code 351: Timeout occurred,Minor,Restart affected network element,Hardware
CC_0352,Radio Network,Cause code 352: Configuration mismatch,Warning,Monitor for pattern recurrence,Authentication
CC_0353,NAS,Cause code 353: Hardware failure,Minor,Update software to latest version,Resource
CC_0354,Protocol,Cause code 354: Authentication rejected,Major,Check radio conditions and interference,Handover
CC_0355,NAS,Cause code 355: Protocol error,Major,Inspect transport network connectivity,Hardware
CC_0356,NAS,Cause code 356: Hardware failure,Critical,Update software to latest version,Hardware
CC_0357,Miscellaneous,Cause code 357: Timeout occurred,Warning,Restart affected network element,Configuration
CC_0358,Transport,Cause code 358: Configuration mismatch,Major,Check radio conditions and interference,Authentication
CC_0359,Miscellaneous,Cause code 359: Authentication rejected,Major,Monitor for pattern recurrence,Resource
CC_0360,Transport,Cause code 360: Authentication rejected,Minor,Review subscriber authentication settings,Resource
CC_0361,Protocol,Cause code 361: Congestion detected,Critical,Escalate to vendor support,Resource
CC_0362,Protocol,Cause code 362: Radio link failure,Minor,Update software to latest version,Resource
CC_0363,Protocol,Cause code 363: Congestion detected,Major,Check radio conditions and interference,Resource
CC_0364,Radio Network,Cause code 364: Radio link failure,Major,Verify MME capacity and resources,Resource
CC_0365,Radio Network,Cause code 365: Authentication rejected,Minor,Inspect transport network connectivity,Resource
CC_0366,NAS,Cause code 366: Protocol error,Critical,Check radio conditions and interference,Handover
CC_0367,Miscellaneous,Cause code 367: Authentication rejected,Warning,Update software to latest version,Hardware
CC_0368,Miscellaneous,Cause code 368: Radio link failure,Major,Review subscriber authentication settings,Authentication
CC_0369,NAS,Cause code 369: Congestion detected,Minor,Escalate to vendor support,Hardware
CC_0370,Miscellaneous,Cause code 370: Congestion detected,Major,Monitor for pattern recurrence,Hardware
CC_0371,NAS,Cause code 371: Configuration mismatch,Warning,Update software to latest version,Handover
CC_0372,Miscellaneous,Cause code 372: Authentication rejected,Minor,Monitor for pattern recurrence,Resource
CC_0373,Transport,Cause code 373: Congestion detected,Warning,Check radio conditions and interference,Hardware
CC_0374,Transport,Cause code 374: Congestion detected,Warning,Inspect transport network connectivity,Handover
CC_0375,Transport,Cause code 375: Timeout occurred,Minor,Verify MME capacity and resources,Authentication
CC_0376,Transport,Cause code 376: Resource unavailable,Major,Restart affected network element,Handover
CC_0377,NAS,Cause code 377: Radio link failure,Minor,Monitor for pattern recurrence,Resource
CC_0378,NAS,Cause code 378: Configuration mismatch,Minor,Escalate to vendor support,Handover
CC_0379,Miscellaneous,Cause code 379: Authentication rejected,Minor,Check radio conditions and interference,Resource
CC_0380,NAS,Cause code 380: Hardware failure,Critical,Inspect transport network connectivity,Configuration
CC_0381,Miscellaneous,Cause code 381: Hardware failure,Minor,Review subscriber authentication settings,Handover
CC_0382,Protocol,Cause code 382: Resource unavailable,Major,Update software to latest version,Hardware
CC_0383,Transport,Cause code 383: Protocol error,Major,Verify MME capacity and resources,Resource
CC_0384,Transport,Cause code 384: Resource unavailable,Major,Monitor for pattern recurrence,Configuration
CC_0385,Protocol,Cause code 385: Radio link failure,Warning,Update software to latest version,Authentication
CC_0386,Transport,Cause code 386: Protocol error,Minor,Verify MME capacity and resources,Hardware
CC_0387,NAS,Cause code 387: Hardware failure,Major,Inspect transport network connectivity,Configuration
CC_0388,Protocol,Cause code 388: Radio link failure,Minor,Verify MME capacity and resources,Configuration
CC_0389,Transport,Cause code 389: Congestion detected,Minor,Escalate to vendor support,Hardware
CC_0390,Miscellaneous,Cause code 390: Congestion detected,Critical,Verify MME capacity and resources,Configuration
CC_0391,NAS,Cause code 391: Authentication rejected,Minor,Review subscriber authentication settings,Handover
CC_0392,NAS,Cause code 392: Authentication rejected,Warning,Inspect transport network connectivity,Configuration
CC_0393,NAS,Cause code 393: Radio link failure,Warning,Restart affected network element,Configuration
CC_0394,NAS,Cause code 394: Authentication rejected,Minor,Escalate to vendor support,Hardware
CC_0395,Miscellaneous,Cause code 395: Authentication rejected,Warning,Escalate to vendor support,Hardware
CC_0396,Miscellaneous,Cause code 396: Authentication rejected,Major,Escalate to vendor support,Resource
CC_0397,Radio Network,Cause code 397: Protocol error,Minor,Update software to latest version,Configuration
CC_0398,Miscellaneous,Cause code 398: Authentication rejected,Critical,Escalate to vendor support,Configuration
CC_0399,Miscellaneous,Cause code 399: Protocol error,Minor,Inspect transport network connectivity,Configuration
CC_0400,Transport,Cause code 400: Resource unavailable,Minor,Review subscriber authentication settings,Resource
CC_0401,Transport,Cause code 401: Radio link failure,Critical,Check radio conditions and interference,Configuration
CC_0402,NAS,Cause code 402: Configuration mismatch,Warning,Restart affected network element,Configuration
CC_0403,Transport,Cause code 403: Radio link failure,Critical,Restart affected network element,Authentication
CC_0404,Radio Network,Cause code 404: Configuration mismatch,Warning,Inspect transport network connectivity,Authentication
CC_0405,Miscellaneous,Cause code 405: Authentication rejected,Critical,Escalate to vendor support,Hardware
CC_0406,Transport,Cause code 406: Hardware failure,Minor,Restart affected network element,Authentication
CC_0407,NAS,Cause code 407: Resource unavailable,Warning,Review subscriber authentication settings,Configuration
CC_0408,Protocol,Cause code 408: Protocol error,Minor,Verify MME capacity and resources,Hardware
CC_0409,Protocol,Cause code 409: Radio link failure,Minor,Update software to latest version,Resource
CC_0410,Miscellaneous,Cause code 410: Configuration mismatch,Warning,Monitor for pattern recurrence,Hardware
CC_0411,Miscellaneous,Cause code 411: Congestion detected,Minor,Restart affected network element,Hardware
CC_0412,NAS,Cause code 412: Authentication rejected,Warning,Escalate to vendor support,Configuration
CC_0413,Transport,Cause code 413: Authentication rejected,Critical,Escalate to vendor support,Hardware
CC_0414,Transport,Cause code 414: Protocol error,Warning,Restart affected network element,Authentication
CC_0415,Miscellaneous,Cause code 415: Configuration mismatch,Major,Inspect transport network connectivity,Authentication
CC_0416,Miscellaneous,Cause code 416: Timeout occurred,Minor,Inspect transport network connectivity,Authentication
CC_0417,Protocol,Cause code 417: Hardware failure,Minor,Inspect transport network connectivity,Configuration
CC_0418,Radio Network,Cause code 418: Radio link failure,Warning,Escalate to vendor support,Configuration
CC_0419,Transport,Cause code 419: Resource unavailable,Minor,Inspect transport network connectivity,Handover
CC_0420,Transport,Cause code 420: Radio link failure,Warning,Check radio conditions and interference,Configuration
CC_0421,NAS,Cause code 421: Timeout occurred,Major,Escalate to vendor support,Authentication
CC_0422,Radio Network,Cause code 422: Congestion detected,Major,Check radio conditions and interference,Hardware
CC_0423,Protocol,Cause code 423: Hardware failure,Warning,Update software to latest version,Configuration
CC_0424,NAS,Cause code 424: Resource unavailable,Warning,Check radio conditions and interference,Authentication
CC_0425,NAS,Cause code 425: Timeout occurred,Warning,Verify MME capacity and resources,Authentication
CC_0426,Radio Network,Cause code 426: Authentication rejected,Minor,Inspect transport network connectivity,Resource
CC_0427,Protocol,Cause code 427: Authentication rejected,Warning,Update software to latest version,Authentication
CC_0428,Protocol,Cause code 428: Timeout occurred,Major,Restart affected network element,Hardware
CC_0429,Transport,Cause code 429: Radio link failure,Minor,Check radio conditions and interference,Hardware
CC_0430,Miscellaneous,Cause code 430: Resource unavailable,Critical,Verify MME capacity and resources,Hardware
CC_0431,NAS,Cause code 431: Radio link failure,Major,Inspect transport network connectivity,Hardware
CC_0432,NAS,Cause code 432: Radio link failure,Minor,Restart affected network element,Authentication
CC_0433,NAS,Cause code 433: Radio link failure,Major,Update software to latest version,Resource
CC_0434,NAS,Cause code 434: Hardware failure,Minor,Verify MME capacity and resources,Authentication
CC_0435,NAS,Cause code 435: Radio link failure,Warning,Inspect transport network connectivity,Configuration
CC_0436,Protocol,Cause code 436: Resource unavailable,Warning,Update software to latest version,Authentication
CC_0437,Radio Network,Cause code 437: Timeout occurred,Critical,Escalate to vendor support,Resource
CC_0438,Miscellaneous,Cause code 438: Protocol error,Minor,Inspect transport network connectivity,Authentication
CC_0439,Transport,Cause code 439: Timeout occurred,Warning,Escalate to vendor support,Resource
CC_0440,Radio Network,Cause code 440: Authentication rejected,Major,Verify MME capacity and resources,Hardware
CC_0441,Miscellaneous,Cause code 441: Congestion detected,Warning,Check radio conditions and interference,Configuration
CC_0442,Radio Network,Cause code 442: Timeout occurred,Major,Restart affected network element,Hardware
CC_0443,NAS,Cause code 443: Radio link failure,Minor,Update software to latest version,Resource
CC_0444,NAS,Cause code 444: Configuration mismatch,Warning,Check radio conditions and interference,Hardware
CC_0445,Transport,Cause code 445: Authentication rejected,Minor,Monitor for pattern recurrence,Authentication
CC_0446,Transport,Cause code 446: Authentication rejected,Warning,Review subscriber authentication settings,Configuration
CC_0447,Protocol,Cause code 447: Configuration mismatch,Warning,Check radio conditions and interference,Authentication
CC_0448,NAS,Cause code 448: Configuration mismatch,Warning,Review subscriber authentication settings,Authentication
CC_0449,Transport,Cause code 449: Hardware failure,Minor,Escalate to vendor support,Resource
CC_0450,Radio Network,Cause code 450: Authentication rejected,Critical,Inspect transport network connectivity,Configuration
CC_0451,Protocol,Cause code 451: Hardware failure,Minor,Monitor for pattern recurrence,Resource
CC_0452,NAS,Cause code 452: Timeout occurred,Major,Review subscriber authentication settings,Resource
CC_0453,Protocol,Cause code 453: Timeout occurred,Minor,Verify MME capacity and resources,Handover
CC_0454,Transport,Cause code 454: Radio link failure,Minor,Review subscriber authentication settings,Resource
CC_0455,Transport,Cause code 455: Configuration mismatch,Minor,Escalate to vendor support,Configuration
CC_0456,Protocol,Cause code 456: Configuration mismatch,Warning,Monitor for pattern recurrence,Resource
CC_0457,Radio Network,Cause code 457: Resource unavailable,Major,Monitor for pattern recurrence,Resource
CC_0458,Miscellaneous,Cause code 458: Timeout occurred,Warning,Inspect transport network connectivity,Handover
CC_0459,NAS,Cause code 459: Hardware failure,Critical,Verify MME capacity and resources,Authentication
CC_0460,Radio Network,Cause code 460: Authentication rejected,Major,Check radio conditions and interference,Hardware
CC_0461,NAS,Cause code 461: Configuration mismatch,Minor,Check radio conditions and interference,Hardware
CC_0462,NAS,Cause code 462: Protocol error,Minor,Restart affected network element,Resource
CC_0463,NAS,Cause code 463: Congestion detected,Minor,Inspect transport network connectivity,Resource
CC_0464,Transport,Cause code 464: Resource unavailable,Warning,Inspect transport network connectivity,Authentication
CC_0465,Protocol,Cause code 465: Resource unavailable,Minor,Review subscriber authentication settings,Authentication
CC_0466,Transport,Cause code 466: Protocol error,Critical,Escalate to vendor support,Authentication
CC_0467,NAS,Cause code 467: Congestion detected,Minor,Monitor for pattern recurrence,Configuration
CC_0468,NAS,Cause code 468: Radio link failure,Warning,Review subscriber authentication settings,Configuration
CC_0469,Miscellaneous,Cause code 469: Configuration mismatch,Warning,Update software to latest version,Configuration
CC_0470,Protocol,Cause code 470: Radio link failure,Critical,Restart affected network element,Authentication
CC_0471,Transport,Cause code 471: Authentication rejected,Warning,Update software to latest version,Handover
CC_0472,Protocol,Cause code 472: Resource unavailable,Major,Verify MME capacity and resources,Configuration
CC_0473,Miscellaneous,Cause code 473: Protocol error,Minor,Restart affected network element,Handover
CC_0474,NAS,Cause code 474: Authentication rejected,Critical,Inspect transport network connectivity,Hardware
CC_0475,Miscellaneous,Cause code 475: Resource unavailable,Minor,Verify MME capacity and resources,Hardware
CC_0476,NAS,Cause code 476: Resource unavailable,Minor,Verify MME capacity and resources,Hardware
CC_0477,Protocol,Cause code 477: Configuration mismatch,Major,Verify MME capacity and resources,Handover
CC_0478,Miscellaneous,Cause code 478: Configuration mismatch,Warning,Review subscriber authentication settings,Authentication
CC_0479,NAS,Cause code 479: Resource unavailable,Minor,Verify MME capacity and resources,Resource
CC_0480,NAS,Cause code 480: Authentication rejected,Minor,Restart affected network element,Resource
CC_0481,Radio Network,Cause code 481: Protocol error,Minor,Restart affected network element,Configuration
CC_0482,Protocol,Cause code 482: Authentication rejected,Minor,Inspect transport network connectivity,Resource
CC_0483,NAS,Cause code 483: Radio link failure,Warning,Escalate to vendor support,Configuration
CC_0484,Radio Network,Cause code 484: Congestion detected,Warning,Update software to latest version,Resource
CC_0485,Radio Network,Cause code 485: Resource unavailable,Warning,Check radio conditions and interference,Configuration
CC_0486,Transport,Cause code 486: Hardware failure,Minor,Check radio conditions and interference,Handover
CC_0487,Transport,Cause code 487: Resource unavailable,Major,Escalate to vendor support,Authentication
CC_0488,Radio Network,Cause code 488: Protocol error,Warning,Verify MME capacity and resources,Configuration
CC_0489,Protocol,Cause code 489: Hardware failure,Minor,Escalate to vendor support,Resource
CC_0490,Protocol,Cause code 490: Resource unavailable,Critical,Inspect transport network connectivity,Hardware
CC_0491,NAS,Cause code 491: Protocol error,Minor,Verify MME capacity and resources,Configuration
CC_0492,Protocol,Cause code 492: Authentication rejected,Critical,Restart affected network element,Authentication
CC_0493,Transport,Cause code 493: Configuration mismatch,Critical,Restart affected network element,Hardware
CC_0494,Transport,Cause code 494: Authentication rejected,Major,Restart affected network element,Handover
CC_0495,Radio Network,Cause code 495: Authentication rejected,Major,Restart affected network element,Configuration
CC_0496,Protocol,Cause code 496: Authentication rejected,Warning,Escalate to vendor support,Hardware
CC_0497,Radio Network,Cause code 497: Radio link failure,Minor,Inspect transport network connectivity,Authentication
CC_0498,NAS,Cause code 498: Protocol error,Minor,Restart affected network element,Handover
CC_0499,NAS,Cause code 499: Congestion detected,Minor,Review subscriber authentication settings,Resource
CC_0500,Radio Network,Cause code 500: Timeout occurred,Minor,Review subscriber authentication settings,Handover
CC_0501,Transport,Cause code 501: Authentication rejected,Minor,Escalate to vendor support,Resource
CC_0502,Protocol,Cause code 502: Authentication rejected,Warning,Inspect transport network connectivity,Handover
CC_0503,NAS,Cause code 503: Authentication rejected,Critical,Inspect transport network connectivity,Handover
CC_0504,Protocol,Cause code 504: Congestion detected,Warning,Escalate to vendor support,Resource
CC_0505,Protocol,Cause code 505: Authentication rejected,Major,Restart affected network element,Resource
CC_0506,Transport,Cause code 506: Timeout occurred,Major,Inspect transport network connectivity,Authentication
CC_0507,Transport,Cause code 507: Authentication rejected,Minor,Review subscriber authentication settings,Resource
CC_0508,Radio Network,Cause code 508: Configuration mismatch,Major,Update software to latest version,Configuration
CC_0509,Radio Network,Cause code 509: Timeout occurred,Major,Restart affected network element,Resource
CC_0510,Radio Network,Cause code 510: Resource unavailable,Warning,Inspect transport network connectivity,Configuration
CC_0511,Radio Network,Cause code 511: Radio link failure,Warning,Verify MME capacity and resources,Hardware
CC_0512,Miscellaneous,Cause code 512: Hardware failure,Minor,Verify MME capacity and resources,Authentication
CC_0513,Transport,Cause code 513: Protocol error,Minor,Check radio conditions and interference,Authentication
CC_0514,Transport,Cause code 514: Authentication rejected,Warning,Escalate to vendor support,Handover
CC_0515,Radio Network,Cause code 515: Resource unavailable,Major,Restart affected network element,Resource
CC_0516,Radio Network,Cause code 516: Configuration mismatch,Minor,Inspect transport network connectivity,Handover
CC_0517,Transport,Cause code 517: Congestion detected,Minor,Check radio conditions and interference,Hardware
CC_0518,Radio Network,Cause code 518: Congestion detected,Warning,Monitor for pattern recurrence,Hardware
CC_0519,Radio Network,Cause code 519: Hardware failure,Major,Check radio conditions and interference,Handover
CC_0520,Transport,Cause code 520: Configuration mismatch,Minor,Check radio conditions and interference,Hardware
CC_0521,Transport,Cause code 521: Congestion detected,Major,Inspect transport network connectivity,Hardware
CC_0522,Miscellaneous,Cause code 522: Congestion detected,Major,Inspect transport network connectivity,Authentication
CC_0523,Radio Network,Cause code 523: Timeout occurred,Warning,Monitor for pattern recurrence,Handover
CC_0524,Miscellaneous,Cause code 524: Timeout occurred,Minor,Monitor for pattern recurrence,Handover
CC_0525,NAS,Cause code 525: Timeout occurred,Major,Update software to latest version,Authentication
CC_0526,NAS,Cause code 526: Configuration mismatch,Warning,Update software to latest version,Configuration
CC_0527,Protocol,Cause code 527: Authentication rejected,Critical,Restart affected network element,Configuration
CC_0528,Radio Network,Cause code 528: Congestion detected,Warning,Check radio conditions and interference,Handover
CC_0529,NAS,Cause code 529: Authentication rejected,Critical,Inspect transport network connectivity,Resource
CC_0530,Protocol,Cause code 530: Radio link failure,Minor,Monitor for pattern recurrence,Resource
CC_0531,Protocol,Cause code 531: Radio link failure,Warning,Verify MME capacity and resources,Resource
CC_0532,NAS,Cause code 532: Authentication rejected,Warning,Restart affected network element,Handover
CC_0533,NAS,Cause code 533: Protocol error,Major,Inspect transport network connectivity,Authentication
